Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2024-03-25,AALI,RG,6850.00,6800.00,6850.00,6850.00,6750.00,503100,3417745000
2024-03-25,ABBA,RG,50.00,45.00,50.00,50.00,45.00,6263400,313158000
2024-03-25,ABDA,RG,5000.00,5000.00,0.00,0.00,0.00,0,0
2024-03-25,ABMM,RG,3740.00,3770.00,3750.00,3780.00,3740.00,710800,2674605000
2024-03-25,ACES,RG,915.00,930.00,910.00,945.00,900.00,41328700,38263257000
2024-03-25,ACRO,RG,117.00,115.00,117.00,118.00,114.00,14319600,1655210800
2024-03-25,ACST,RG,137.00,139.00,137.00,148.00,135.00,12588900,1785949800
2024-03-25,ADCP,RG,50.00,50.00,50.00,51.00,50.00,7255300,362809500
2024-03-25,ADES,RG,9800.00,9550.00,9600.00,9600.00,9550.00,18600,177970000
2024-03-25,ADHI,RG,308.00,306.00,308.00,314.00,300.00,19293800,5878284600
2024-03-25,ADMF,RG,13525.00,13650.00,13525.00,13700.00,13425.00,98400,1339977500
2024-03-25,ADMG,RG,136.00,135.00,134.00,136.00,132.00,50800,6779800
2024-03-25,ADMR,RG,1300.00,1300.00,1310.00,1320.00,1290.00,14616300,19039982500
2024-03-25,ADRO,RG,2650.00,2670.00,2650.00,2670.00,2650.00,34644400,92211018000
2024-03-25,AGAR,RG,90.00,90.00,90.00,90.00,90.00,100,9000
2024-03-25,AGII,RG,1515.00,1515.00,1520.00,1520.00,1515.00,37400,56701500
2024-03-25,AGRO,RG,302.00,296.00,302.00,310.00,294.00,52945200,15966722800
2024-03-25,AGRS,RG,73.00,68.00,72.00,72.00,68.00,5668700,392324000
2024-03-25,AHAP,RG,126.00,124.00,126.00,129.00,122.00,14428400,1809038700
2024-03-25,AIMS,RG,565.00,610.00,620.00,620.00,610.00,6451600,3997505000
2024-03-25,AISA,RG,132.00,131.00,131.00,133.00,131.00,2090100,275016600
2024-03-25,AKKU,RG,50.00,45.00,45.00,45.00,45.00,1300,58500
2024-03-25,AKPI,RG,695.00,700.00,695.00,700.00,660.00,45000,29824500
2024-03-25,AKRA,RG,1700.00,1735.00,1700.00,1740.00,1700.00,31529000,54364917000
2024-03-25,AKSI,RG,135.00,135.00,135.00,135.00,133.00,87100,11612700
2024-03-25,ALDO,RG,790.00,810.00,790.00,835.00,760.00,161100,131777500
2024-03-25,ALKA,RG,430.00,444.00,434.00,460.00,434.00,435300,191338000
2024-03-25,ALMI,RG,100.00,95.00,99.00,99.00,95.00,270200,25705800
2024-03-25,ALTO,RG,50.00,45.00,45.00,45.00,45.00,5000,225000
2024-03-25,AMAG,RG,302.00,306.00,308.00,310.00,302.00,27400,8370400
2024-03-25,AMAN,RG,114.00,112.00,113.00,115.00,112.00,742100,83896900
2024-03-25,AMAR,RG,254.00,250.00,254.00,254.00,250.00,253000,63336800
2024-03-25,AMFG,RG,5800.00,5800.00,5775.00,5850.00,5700.00,30000,173130000
2024-03-25,AMIN,RG,147.00,155.00,147.00,163.00,147.00,58700,9164700
2024-03-25,AMMN,RG,8775.00,8850.00,8750.00,8900.00,8700.00,29267000,257667062500
2024-03-25,AMMS,RG,30.00,30.00,30.00,33.00,29.00,1762100,53302800
2024-03-25,AMOR,RG,970.00,970.00,970.00,970.00,965.00,27000,26064000
2024-03-25,AMRT,RG,2900.00,2900.00,2880.00,2910.00,2850.00,34474300,99661466000
2024-03-25,ANDI,RG,50.00,45.00,45.00,45.00,45.00,2700,121500
2024-03-25,ANJT,RG,725.00,725.00,725.00,730.00,720.00,345800,249556000
2024-03-25,ANTM,RG,1670.00,1660.00,1670.00,1685.00,1650.00,51279100,85137593500
2024-03-25,APEX,RG,176.00,175.00,178.00,178.00,169.00,1592000,275003600
2024-03-25,APIC,RG,1070.00,1075.00,1070.00,1075.00,1050.00,203600,217155000
2024-03-25,APII,RG,188.00,189.00,187.00,190.00,186.00,1800,339000
2024-03-25,APLI,RG,550.00,545.00,550.00,550.00,535.00,1800,981000
2024-03-25,APLN,RG,115.00,118.00,115.00,119.00,113.00,19915200,2333444800
2024-03-25,ARCI,RG,346.00,344.00,340.00,348.00,340.00,5703600,1961134600
2024-03-25,ARGO,RG,980.00,980.00,980.00,980.00,980.00,200,196000
2024-03-25,ARII,RG,288.00,284.00,288.00,290.00,264.00,65600,18228000
2024-03-25,ARKA,RG,50.00,45.00,45.00,45.00,45.00,155000,6975000
2024-03-25,ARKO,RG,1005.00,1015.00,1015.00,1035.00,990.00,788500,795041500
2024-03-25,ARMY,RG,50.00,50.00,0.00,0.00,0.00,0,0
2024-03-25,ARNA,RG,710.00,705.00,710.00,710.00,700.00,3553200,2506477000
2024-03-25,ARTA,RG,2730.00,2730.00,2730.00,2730.00,2730.00,29700,81081000
2024-03-25,ARTI,RG,3.00,4.00,3.00,4.00,3.00,4396400,13460200
2024-03-25,ARTO,RG,2700.00,2780.00,2700.00,2790.00,2700.00,9741400,26849875000
2024-03-25,ASBI,RG,745.00,735.00,720.00,745.00,720.00,1900,1398000
2024-03-25,ASDM,RG,500.00,492.00,492.00,498.00,492.00,36400,17937800
2024-03-25,ASGR,RG,860.00,865.00,860.00,865.00,855.00,385200,332235000
2024-03-25,ASHA,RG,50.00,50.00,50.00,50.00,50.00,451000,22550000
2024-03-25,ASII,RG,5375.00,5350.00,5375.00,5425.00,5325.00,39759500,213030240000
2024-03-25,ASJT,RG,115.00,119.00,118.00,123.00,118.00,478500,57256700
2024-03-25,ASLC,RG,117.00,119.00,117.00,123.00,117.00,21968000,2631572200
2024-03-25,ASLI,RG,50.00,50.00,50.00,50.00,50.00,691000,34550000
2024-03-25,ASMI,RG,50.00,45.00,45.00,45.00,45.00,77000,3465000
2024-03-25,ASPI,RG,147.00,146.00,147.00,147.00,146.00,113700,16600300
2024-03-25,ASRI,RG,155.00,157.00,155.00,161.00,154.00,27073400,4291569700
2024-03-25,ASRM,RG,1545.00,1545.00,1545.00,1545.00,1545.00,100,154500
2024-03-25,ASSA,RG,835.00,835.00,840.00,875.00,830.00,19085600,16305571500
2024-03-25,ATAP,RG,50.00,50.00,50.00,50.00,50.00,2800,140000
2024-03-25,ATIC,RG,378.00,380.00,378.00,384.00,378.00,31000,11768400
2024-03-25,AUTO,RG,2260.00,2260.00,2270.00,2290.00,2250.00,2783800,6304203000
2024-03-25,AVIA,RG,550.00,555.00,550.00,565.00,535.00,31790300,17518602000
2024-03-25,AWAN,RG,282.00,286.00,290.00,304.00,280.00,953700,280593000
2024-03-25,AXIO,RG,202.00,206.00,204.00,208.00,202.00,1664300,338330400
2024-03-25,AYLS,RG,50.00,50.00,50.00,50.00,50.00,6200,310000
2024-03-25,BABP,RG,51.00,51.00,61.00,61.00,51.00,5885500,305549200
2024-03-25,BABY,RG,147.00,144.00,148.00,148.00,144.00,824100,119946800
2024-03-25,BACA,RG,130.00,130.00,131.00,131.00,130.00,2380700,309526000
2024-03-25,BAIK,RG,88.00,86.00,87.00,90.00,85.00,8508500,736976000
2024-03-25,BAJA,RG,106.00,105.00,100.00,106.00,100.00,200200,20966500
2024-03-25,BALI,RG,1005.00,975.00,990.00,990.00,975.00,12200,11989500
2024-03-25,BANK,RG,995.00,1000.00,995.00,1000.00,990.00,46069600,45837603500
2024-03-25,BAPA,RG,51.00,52.00,51.00,52.00,51.00,391000,19951700
2024-03-25,BAPI,RG,50.00,50.00,0.00,0.00,0.00,0,0
2024-03-25,BATA,RG,102.00,102.00,102.00,102.00,101.00,28700,2917300
2024-03-25,BAUT,RG,50.00,45.00,45.00,45.00,45.00,38200,1719000
2024-03-25,BAYU,RG,1405.00,1400.00,1405.00,1405.00,1390.00,175800,246449500
2024-03-25,BBCA,RG,10100.00,10075.00,9925.00,10075.00,9925.00,66971000,670487380000
2024-03-25,BBHI,RG,1145.00,1170.00,1150.00,1185.00,1150.00,515300,604772000
2024-03-25,BBKP,RG,80.00,79.00,80.00,80.00,79.00,16348600,1294193500
2024-03-25,BBLD,RG,555.00,555.00,535.00,560.00,535.00,167600,92391500
2024-03-25,BBMD,RG,2010.00,2010.00,2010.00,2010.00,2010.00,200,402000
2024-03-25,BBNI,RG,5850.00,5925.00,5850.00,5925.00,5825.00,43504600,256117332500
