Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2023-02-10,AALI,RG,8150.00,8200.00,8150.00,8200.00,8100.00,558100,4543815000
2023-02-10,ABBA,RG,132.00,127.00,132.00,132.00,125.00,7514800,951496000
2023-02-10,ABDA,RG,6650.00,6500.00,6500.00,6500.00,6500.00,200,1300000
2023-02-10,ABMM,RG,2680.00,2600.00,2660.00,2660.00,2510.00,3614700,9260541000
2023-02-10,ACES,RG,510.00,505.00,515.00,515.00,492.00,182389700,91269055100
2023-02-10,ACST,RG,166.00,159.00,165.00,166.00,158.00,5679200,909030700
2023-02-10,ADCP,RG,72.00,71.00,72.00,72.00,69.00,12767600,899212100
2023-02-10,ADES,RG,7575.00,7525.00,7575.00,7575.00,7475.00,45900,344342500
2023-02-10,ADHI,RG,490.00,478.00,490.00,492.00,472.00,22726700,10868354000
2023-02-10,ADMF,RG,9450.00,9750.00,9425.00,9875.00,9400.00,163100,1582745000
2023-02-10,ADMG,RG,148.00,148.00,148.00,149.00,146.00,255400,37641000
2023-02-10,ADMR,RG,1455.00,1455.00,1440.00,1465.00,1405.00,44718600,63861192000
2023-02-10,ADRO,RG,2840.00,2740.00,2750.00,2780.00,2710.00,73205300,200617599000
2023-02-10,AGAR,RG,282.00,280.00,282.00,282.00,280.00,700,196400
2023-02-10,AGII,RG,2040.00,2160.00,2040.00,2180.00,1970.00,10553200,22096990000
2023-02-10,AGRO,RG,402.00,406.00,402.00,408.00,390.00,22861200,9109880200
2023-02-10,AGRS,RG,95.00,93.00,95.00,95.00,92.00,4407700,409856400
2023-02-10,AHAP,RG,74.00,76.00,74.00,81.00,73.00,18517900,1422619800
2023-02-10,AIMS,RG,370.00,366.00,372.00,376.00,356.00,275000,101123600
2023-02-10,AISA,RG,158.00,150.00,158.00,158.00,150.00,7961500,1213323400
2023-02-10,AKKU,RG,50.00,50.00,50.00,50.00,50.00,400,20000
2023-02-10,AKPI,RG,1210.00,1215.00,1210.00,1220.00,1175.00,9000,10814000
2023-02-10,AKRA,RG,1280.00,1310.00,1280.00,1315.00,1265.00,39029300,50479272000
2023-02-10,AKSI,RG,276.00,274.00,276.00,278.00,270.00,577100,156910600
2023-02-10,ALDO,RG,780.00,790.00,780.00,795.00,780.00,15400,12166500
2023-02-10,ALKA,RG,428.00,426.00,430.00,432.00,410.00,160600,67716800
2023-02-10,ALMI,RG,266.00,266.00,266.00,266.00,258.00,23000,5957200
2023-02-10,ALTO,RG,50.00,50.00,50.00,50.00,50.00,91200,4560000
2023-02-10,AMAG,RG,396.00,386.00,396.00,396.00,374.00,53200,20524000
2023-02-10,AMAN,RG,825.00,800.00,825.00,915.00,770.00,8211000,6987026000
2023-02-10,AMAR,RG,272.00,272.00,272.00,272.00,266.00,6455600,1745472000
2023-02-10,AMFG,RG,5525.00,5400.00,5525.00,5525.00,5400.00,55300,301415000
2023-02-10,AMIN,RG,137.00,138.00,137.00,143.00,135.00,1099400,151321000
2023-02-10,AMMS,RG,39.00,39.00,40.00,40.00,39.00,822000,32086600
2023-02-10,AMOR,RG,1140.00,1140.00,1140.00,1170.00,1140.00,29000,33275000
2023-02-10,AMRT,RG,2950.00,2950.00,2950.00,2960.00,2880.00,12126400,35732125000
2023-02-10,ANDI,RG,50.00,50.00,50.00,50.00,50.00,1300,65000
2023-02-10,ANJT,RG,720.00,710.00,720.00,720.00,700.00,1252900,886804500
2023-02-10,ANTM,RG,2220.00,2220.00,2250.00,2250.00,2180.00,77590000,171676043000
2023-02-10,APEX,RG,180.00,178.00,180.00,180.00,178.00,386900,69209800
2023-02-10,APIC,RG,1135.00,1130.00,1135.00,1135.00,1125.00,3536400,3992085500
2023-02-10,APII,RG,196.00,197.00,196.00,206.00,192.00,3159300,629650400
2023-02-10,APLI,RG,246.00,244.00,244.00,252.00,242.00,101500,24740600
2023-02-10,APLN,RG,158.00,156.00,158.00,159.00,154.00,10141400,1576779000
2023-02-10,ARCI,RG,330.00,330.00,330.00,332.00,328.00,4168200,1375431800
2023-02-10,ARGO,RG,1000.00,980.00,995.00,995.00,980.00,1000,990500
2023-02-10,ARII,RG,260.00,244.00,260.00,260.00,242.00,3879500,957161200
2023-02-10,ARKA,RG,50.00,50.00,50.00,50.00,50.00,11000,550000
2023-02-10,ARKO,RG,595.00,580.00,595.00,595.00,565.00,6372700,3682568000
2023-02-10,ARNA,RG,1035.00,1020.00,1035.00,1035.00,1015.00,787800,806332000
2023-02-10,ARTA,RG,2200.00,2190.00,2200.00,2200.00,2100.00,300,649000
2023-02-10,ARTO,RG,3300.00,3070.00,3070.00,3070.00,3070.00,11315200,34737664000
2023-02-10,ASBI,RG,490.00,500.00,478.00,500.00,478.00,9900,4922000
2023-02-10,ASDM,RG,935.00,935.00,935.00,935.00,935.00,2400,2244000
2023-02-10,ASGR,RG,945.00,945.00,945.00,950.00,940.00,49400,46482500
2023-02-10,ASHA,RG,99.00,100.00,99.00,101.00,97.00,26579300,2640347400
2023-02-10,ASII,RG,5675.00,5700.00,5600.00,5700.00,5550.00,71158200,400372495000
2023-02-10,ASJT,RG,126.00,127.00,120.00,130.00,120.00,41700,5333700
2023-02-10,ASLC,RG,99.00,96.00,97.00,99.00,93.00,28544400,2695784200
2023-02-10,ASMI,RG,83.00,83.00,78.00,86.00,78.00,212100,17255600
2023-02-10,ASPI,RG,136.00,127.00,139.00,141.00,127.00,3610500,480931600
2023-02-10,ASRI,RG,163.00,163.00,165.00,165.00,161.00,3957700,643037100
2023-02-10,ASRM,RG,1630.00,1630.00,0.00,0.00,0.00,0,0
2023-02-10,ASSA,RG,855.00,885.00,850.00,890.00,825.00,9642500,8270297500
2023-02-10,ATAP,RG,76.00,75.00,76.00,77.00,75.00,587300,44375800
2023-02-10,ATIC,RG,370.00,372.00,370.00,380.00,368.00,16000,5947600
2023-02-10,AUTO,RG,1350.00,1340.00,1350.00,1360.00,1335.00,6105700,8189106000
2023-02-10,AVIA,RG,665.00,630.00,665.00,670.00,630.00,6604800,4234956500
2023-02-10,AXIO,RG,208.00,206.00,208.00,210.00,206.00,7817900,1621670800
2023-02-10,AYLS,RG,93.00,96.00,98.00,109.00,95.00,92935300,9461609200
2023-02-10,BABP,RG,101.00,101.00,103.00,105.00,98.00,58902500,5897308000
2023-02-10,BACA,RG,130.00,130.00,130.00,131.00,129.00,3822800,497150000
2023-02-10,BAJA,RG,195.00,196.00,195.00,206.00,195.00,25223500,5025299800
2023-02-10,BALI,RG,785.00,775.00,780.00,790.00,775.00,37600,29166500
2023-02-10,BANK,RG,1315.00,1310.00,1320.00,1330.00,1300.00,17396300,22864596000
2023-02-10,BAPA,RG,94.00,93.00,95.00,95.00,92.00,4194700,390665600
2023-02-10,BAPI,RG,50.00,50.00,50.00,50.00,50.00,300,15000
2023-02-10,BATA,RG,605.00,570.00,605.00,605.00,565.00,78400,44456500
2023-02-10,BAUT,RG,50.00,50.00,50.00,50.00,50.00,31500,1575000
2023-02-10,BAYU,RG,965.00,965.00,0.00,0.00,0.00,0,0
2023-02-10,BBCA,RG,8900.00,8825.00,8875.00,8900.00,8700.00,62060900,544711665000
2023-02-10,BBHI,RG,1705.00,1670.00,1705.00,1705.00,1620.00,3044600,5016223000
2023-02-10,BBKP,RG,124.00,120.00,124.00,127.00,116.00,243859600,29191548200
2023-02-10,BBLD,RG,550.00,535.00,550.00,565.00,535.00,1500,833000
2023-02-10,BBMD,RG,2030.00,2030.00,2030.00,2030.00,2030.00,1000,2030000
2023-02-10,BBNI,RG,9550.00,9525.00,9525.00,9525.00,9425.00,12489700,118280927500
2023-02-10,BBRI,RG,4810.00,4860.00,4840.00,4880.00,4770.00,181146600,874740821000
2023-02-10,BBRM,RG,58.00,57.00,58.00,59.00,56.00,2155100,123090400
2023-02-10,BBSI,RG,2850.00,2850.00,2850.00,2850.00,2850.00,4700,13395000
2023-02-10,BBSS,RG,63.00,63.00,63.00,63.00,62.00,667400,41436300
2023-02-10,BBTN,RG,1370.00,1380.00,1375.00,1385.00,1360.00,24165700,33140917500
2023-02-10,BBYB,RG,675.00,635.00,655.00,660.00,630.00,126231200,80381465000
