Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2026-03-10,AADI,RG,10450.00,10375.00,10300.00,10525.00,10075.00,24378000,251227455000
2026-03-10,AALI,RG,7300.00,7275.00,7325.00,7475.00,7275.00,434900,3214102500
2026-03-10,ABBA,RG,40.00,42.00,40.00,42.00,40.00,244000,9965300
2026-03-10,ABDA,RG,2680.00,2550.00,2680.00,2680.00,2550.00,400,1059000
2026-03-10,ABMM,RG,2970.00,2930.00,2980.00,3010.00,2900.00,2244400,6621391000
2026-03-10,ACES,RG,376.00,394.00,382.00,394.00,378.00,42790100,16519499600
2026-03-10,ACRO,RG,70.00,73.00,73.00,75.00,71.00,5325800,386254600
2026-03-10,ACST,RG,108.00,114.00,108.00,117.00,107.00,3132700,354200300
2026-03-10,ADCP,RG,50.00,51.00,50.00,51.00,50.00,3565800,178298300
2026-03-10,ADES,RG,14750.00,14950.00,15025.00,15075.00,14800.00,82800,1238757500
2026-03-10,ADHI,RG,210.00,210.00,212.00,214.00,208.00,3262900,688391800
2026-03-10,ADMF,RG,8425.00,8400.00,8425.00,8550.00,8350.00,94500,798217500
2026-03-10,ADMG,RG,210.00,204.00,202.00,206.00,197.00,271500,55329900
2026-03-10,ADMR,RG,1945.00,1960.00,1960.00,1985.00,1905.00,46967300,90996534500
2026-03-10,ADRO,RG,2350.00,2380.00,2380.00,2390.00,2310.00,66441500,156542366000
2026-03-10,AGAR,RG,224.00,214.00,206.00,220.00,206.00,48800,10396000
2026-03-10,AGII,RG,3330.00,3330.00,0.00,0.00,0.00,0,0
2026-03-10,AGRO,RG,177.00,183.00,180.00,184.00,178.00,8455500,1536929400
2026-03-10,AGRS,RG,69.00,69.00,68.00,70.00,68.00,4032700,278339700
2026-03-10,AHAP,RG,108.00,118.00,115.00,122.00,110.00,85902900,9989145600
2026-03-10,AIMS,RG,418.00,426.00,418.00,432.00,418.00,348000,149270600
2026-03-10,AISA,RG,120.00,125.00,121.00,129.00,120.00,9858000,1219157800
2026-03-10,AKKU,RG,39.00,39.00,38.00,39.00,38.00,730900,28472600
2026-03-10,AKPI,RG,498.00,500.00,498.00,520.00,498.00,3300,1680900
2026-03-10,AKRA,RG,1260.00,1245.00,1260.00,1275.00,1225.00,26337900,32866601500
2026-03-10,AKSI,RG,308.00,318.00,308.00,318.00,306.00,59900,18674400
2026-03-10,ALDO,RG,550.00,550.00,550.00,550.00,545.00,37400,20414000
2026-03-10,ALKA,RG,565.00,705.00,500.00,705.00,494.00,3770200,2330886200
2026-03-10,ALMI,RG,74.00,74.00,0.00,0.00,0.00,0,0
2026-03-10,ALTO,RG,18.00,18.00,0.00,0.00,0.00,0,0
2026-03-10,AMAG,RG,416.00,416.00,418.00,418.00,414.00,7000,2905400
2026-03-10,AMAN,RG,266.00,302.00,280.00,314.00,270.00,4305800,1272143400
2026-03-10,AMAR,RG,192.00,195.00,190.00,200.00,185.00,615900,117441100
2026-03-10,AMFG,RG,3250.00,3150.00,3150.00,3290.00,3150.00,12300,39164000
2026-03-10,AMIN,RG,232.00,244.00,248.00,248.00,232.00,46800,11230800
2026-03-10,AMMN,RG,5700.00,5825.00,5800.00,6025.00,5775.00,17061300,100212570000
2026-03-10,AMMS,RG,420.00,440.00,420.00,462.00,420.00,435100,197896200
2026-03-10,AMOR,RG,316.00,314.00,318.00,318.00,306.00,965300,300138000
2026-03-10,AMRT,RG,1435.00,1435.00,1460.00,1480.00,1435.00,22012800,31851462000
2026-03-10,ANDI,RG,26.00,27.00,28.00,28.00,27.00,9216300,252917100
2026-03-10,ANJT,RG,1530.00,1550.00,1540.00,1555.00,1535.00,136200,210319500
2026-03-10,ANTM,RG,3820.00,4020.00,3950.00,4080.00,3900.00,97669800,389335610000
2026-03-10,APEX,RG,226.00,210.00,220.00,224.00,206.00,92627600,19709540400
2026-03-10,APIC,RG,1200.00,1245.00,1200.00,1445.00,1150.00,80920200,100753483500
2026-03-10,APII,RG,193.00,193.00,194.00,194.00,193.00,49900,9638900
2026-03-10,APLI,RG,276.00,274.00,276.00,312.00,270.00,24200,6661600
2026-03-10,APLN,RG,121.00,139.00,125.00,142.00,123.00,89746900,12129654200
2026-03-10,ARCI,RG,1590.00,1735.00,1655.00,1770.00,1625.00,107493600,183146279000
2026-03-10,AREA,RG,322.00,340.00,322.00,350.00,276.00,228700,73876200
2026-03-10,ARGO,RG,930.00,990.00,930.00,990.00,925.00,4000,3727500
2026-03-10,ARII,RG,284.00,284.00,286.00,286.00,272.00,77600,22066200
2026-03-10,ARKA,RG,35.00,33.00,35.00,35.00,33.00,6718800,224656900
2026-03-10,ARKO,RG,6500.00,6300.00,7000.00,7000.00,6000.00,4819600,30122707500
2026-03-10,ARMY,RG,50.00,50.00,0.00,0.00,0.00,0,0
2026-03-10,ARNA,RG,515.00,520.00,515.00,525.00,510.00,2622200,1357341000
2026-03-10,ARTA,RG,2650.00,2700.00,2670.00,3160.00,2670.00,34200,99423000
2026-03-10,ARTI,RG,2.00,2.00,0.00,0.00,0.00,0,0
2026-03-10,ARTO,RG,1330.00,1500.00,1330.00,1520.00,1330.00,8231700,11914843500
2026-03-10,ASBI,RG,420.00,416.00,420.00,420.00,406.00,45600,18537600
2026-03-10,ASDM,RG,625.00,625.00,630.00,630.00,620.00,5600,3489000
2026-03-10,ASGR,RG,1545.00,1555.00,1545.00,1620.00,1545.00,871000,1377204500
2026-03-10,ASHA,RG,72.00,75.00,73.00,78.00,71.00,72705900,5391199400
2026-03-10,ASII,RG,5850.00,6000.00,5900.00,6150.00,5900.00,33964900,205123150000
2026-03-10,ASJT,RG,183.00,187.00,183.00,190.00,183.00,461100,84568300
2026-03-10,ASLC,RG,74.00,76.00,75.00,78.00,75.00,11576000,877836100
2026-03-10,ASLI,RG,324.00,328.00,324.00,340.00,318.00,9917600,3236149200
2026-03-10,ASMI,RG,21.00,19.00,20.00,23.00,19.00,21155900,443440000
2026-03-10,ASPI,RG,266.00,266.00,252.00,276.00,242.00,246800,62220600
2026-03-10,ASPR,RG,136.00,148.00,136.00,153.00,132.00,130388400,18907762300
2026-03-10,ASRI,RG,127.00,133.00,129.00,135.00,128.00,24411100,3185219700
2026-03-10,ASRM,RG,280.00,288.00,282.00,288.00,282.00,6900,1964000
2026-03-10,ASSA,RG,1025.00,1045.00,1035.00,1050.00,1025.00,3753900,3900248500
2026-03-10,ATAP,RG,725.00,705.00,735.00,765.00,695.00,1721300,1240569500
2026-03-10,ATIC,RG,520.00,540.00,520.00,590.00,520.00,207700,110718000
2026-03-10,ATLA,RG,50.00,50.00,51.00,51.00,50.00,25463400,1276284600
2026-03-10,AUTO,RG,2600.00,2650.00,2610.00,2670.00,2610.00,1942600,5133631000
2026-03-10,AVIA,RG,406.00,416.00,406.00,416.00,404.00,7469500,3065238000
2026-03-10,AWAN,RG,152.00,153.00,155.00,158.00,150.00,704400,107523600
2026-03-10,AXIO,RG,113.00,113.00,113.00,114.00,111.00,314200,35348100
2026-03-10,AYLS,RG,202.00,216.00,199.00,220.00,195.00,1772500,371532900
2026-03-10,BABP,RG,51.00,52.00,51.00,52.00,50.00,6934100,354775000
2026-03-10,BABY,RG,200.00,228.00,214.00,248.00,206.00,4242400,975671400
2026-03-10,BACA,RG,135.00,137.00,136.00,139.00,131.00,1192700,160920900
2026-03-10,BAIK,RG,306.00,294.00,306.00,312.00,294.00,1709800,520608000
2026-03-10,BAJA,RG,140.00,149.00,140.00,151.00,140.00,365400,53314300
2026-03-10,BALI,RG,1240.00,1310.00,1275.00,1340.00,1260.00,27900,35847000
2026-03-10,BANK,RG,482.00,510.00,482.00,510.00,478.00,1204300,598611400
2026-03-10,BAPA,RG,74.00,77.00,75.00,80.00,75.00,2022800,155791900
2026-03-10,BAPI,RG,30.00,31.00,30.00,31.00,30.00,6136600,185164700
2026-03-10,BATA,RG,58.00,58.00,58.00,63.00,58.00,201600,11787300
2026-03-10,BATR,RG,93.00,90.00,93.00,93.00,86.00,4118200,364279800
2026-03-10,BAUT,RG,33.00,34.00,33.00,34.00,33.00,4176700,138262400
2026-03-10,BAYU,RG,1390.00,1385.00,1390.00,1400.00,1365.00,357700,497986000
2026-03-10,BBCA,RG,6875.00,6975.00,6950.00,7050.00,6925.00,129977900,906258067500
2026-03-10,BBHI,RG,1330.00,1340.00,1330.00,1350.00,1330.00,167800,224133000
2026-03-10,BBKP,RG,62.00,64.00,63.00,65.00,62.00,75467200,4768214900
2026-03-10,BBLD,RG,810.00,780.00,810.00,810.00,775.00,2200,1739000
2026-03-10,BBMD,RG,2000.00,1975.00,2000.00,2000.00,1940.00,300,591500
2026-03-10,BBNI,RG,4290.00,4260.00,4350.00,4370.00,4250.00,66622300,286249665000
2026-03-10,BBRI,RG,3570.00,3560.00,3600.00,3610.00,3560.00,175353400,628730983000
2026-03-10,BBRM,RG,131.00,134.00,138.00,140.00,129.00,4774300,640165800
2026-03-10,BBSI,RG,4780.00,4730.00,4780.00,4820.00,4620.00,13900,65435000
2026-03-10,BBSS,RG,176.00,180.00,164.00,183.00,160.00,1234600,222104800
2026-03-10,BBTN,RG,1275.00,1285.00,1300.00,1305.00,1265.00,26727600,34241479500
2026-03-10,BBYB,RG,290.00,298.00,294.00,302.00,286.00,32721200,9602246400
2026-03-10,BCAP,RG,50.00,50.00,50.00,51.00,50.00,26039100,1303083000
2026-03-10,BCIC,RG,133.00,136.00,134.00,137.00,127.00,1219300,163065900
2026-03-10,BCIP,RG,72.00,74.00,75.00,76.00,69.00,12269600,905551100
2026-03-10,BDKR,RG,148.00,156.00,151.00,156.00,150.00,16866800,2579308900
2026-03-10,BDMN,RG,2540.00,2570.00,2550.00,2600.00,2540.00,974900,2503298000
2026-03-10,BEBS,RG,5.00,5.00,0.00,0.00,0.00,0,0
2026-03-10,BEEF,RG,240.00,250.00,240.00,252.00,236.00,4853700,1184499200
2026-03-10,BEER,RG,134.00,138.00,134.00,140.00,132.00,109600,14856000
2026-03-10,BEKS,RG,27.00,28.00,27.00,28.00,27.00,21637400,590360600
2026-03-10,BELI,RG,426.00,412.00,424.00,426.00,412.00,818600,339277000
2026-03-10,BELL,RG,146.00,143.00,156.00,170.00,139.00,113869900,17061155900
2026-03-10,BESS,RG,1145.00,1200.00,1030.00,1395.00,1030.00,91900,112272000
2026-03-10,BEST,RG,102.00,104.00,102.00,105.00,101.00,7420700,764203300
2026-03-10,BFIN,RG,725.00,750.00,725.00,755.00,725.00,14550200,10906944000
2026-03-10,BGTG,RG,120.00,124.00,122.00,124.00,120.00,11219300,1371137800
2026-03-10,BHAT,RG,1380.00,1400.00,1400.00,1405.00,1400.00,68200,95484500
2026-03-10,BHIT,RG,34.00,35.00,35.00,35.00,35.00,6934800,242718000
2026-03-10,BIKA,RG,55.00,55.00,0.00,0.00,0.00,0,0
2026-03-10,BIKE,RG,392.00,392.00,398.00,398.00,378.00,8735300,3362251800
2026-03-10,BIMA,RG,82.00,82.00,0.00,0.00,0.00,0,0
2026-03-10,BINA,RG,4540.00,4460.00,4400.00,4490.00,4400.00,150700,666435000
2026-03-10,BINO,RG,121.00,124.00,123.00,125.00,121.00,1207400,146861500
2026-03-10,BIPI,RG,244.00,244.00,260.00,262.00,238.00,1880773300,470571464200
2026-03-10,BIPP,RG,60.00,62.00,63.00,67.00,61.00,9271700,589395300
2026-03-10,BIRD,RG,1660.00,1675.00,1675.00,1685.00,1670.00,1359500,2282856500
2026-03-10,BISI,RG,870.00,865.00,860.00,865.00,840.00,250100,212889500
2026-03-10,BJBR,RG,800.00,815.00,800.00,815.00,800.00,2833100,2286861500
2026-03-10,BJTM,RG,555.00,565.00,560.00,570.00,560.00,7188700,4052476000
2026-03-10,BKDP,RG,50.00,50.00,51.00,51.00,50.00,4727700,239793600
2026-03-10,BKSL,RG,106.00,112.00,112.00,114.00,108.00,253195800,27984203100
2026-03-10,BKSW,RG,59.00,59.00,59.00,60.00,57.00,2337700,136367900
2026-03-10,BLES,RG,130.00,130.00,130.00,134.00,127.00,1467100,189364300
2026-03-10,BLOG,RG,372.00,384.00,372.00,384.00,368.00,1096200,413915800
2026-03-10,BLTA,RG,43.00,45.00,45.00,45.00,44.00,10862000,486090700
2026-03-10,BLTZ,RG,2700.00,2700.00,0.00,0.00,0.00,0,0
2026-03-10,BLUE,RG,3550.00,3610.00,3500.00,3800.00,3500.00,438700,1598498000
2026-03-10,BMAS,RG,496.00,500.00,496.00,500.00,484.00,18900,9190400
2026-03-10,BMBL,RG,37.00,34.00,37.00,39.00,34.00,33927400,1189826100
2026-03-10,BMHS,RG,186.00,188.00,191.00,192.00,182.00,856000,160256900
2026-03-10,BMRI,RG,4820.00,4910.00,4920.00,4990.00,4860.00,124581800,610967568000
2026-03-10,BMSR,RG,302.00,302.00,302.00,322.00,292.00,65100,19366200
2026-03-10,BMTR,RG,125.00,128.00,126.00,129.00,125.00,21377600,2704640200
2026-03-10,BNBA,RG,725.00,740.00,730.00,775.00,695.00,1618800,1193406500
2026-03-10,BNBR,RG,143.00,148.00,154.00,165.00,142.00,2106394400,319804598000
2026-03-10,BNGA,RG,1735.00,1740.00,1765.00,1765.00,1735.00,8245300,14374466000
2026-03-10,BNII,RG,202.00,204.00,204.00,206.00,202.00,1719200,349622800
2026-03-10,BNLI,RG,3290.00,3250.00,3290.00,3450.00,3200.00,34900,114546000
2026-03-10,BOAT,RG,137.00,138.00,142.00,149.00,136.00,4894100,695533300
2026-03-10,BOBA,RG,173.00,163.00,174.00,177.00,160.00,2072800,344040100
2026-03-10,BOGA,RG,1425.00,1465.00,1425.00,1510.00,1425.00,27700,40205000
2026-03-10,BOLA,RG,161.00,163.00,161.00,165.00,160.00,444300,71731400
2026-03-10,BOLT,RG,945.00,945.00,945.00,945.00,920.00,17300,16170000
2026-03-10,BOSS,RG,50.00,50.00,0.00,0.00,0.00,0,0
2026-03-10,BPFI,RG,270.00,272.00,274.00,274.00,254.00,5100,1343400
2026-03-10,BPII,RG,472.00,466.00,442.00,468.00,442.00,2200,1010000
2026-03-10,BPTR,RG,76.00,76.00,76.00,85.00,76.00,625900,49513800
2026-03-10,BRAM,RG,4500.00,4500.00,4500.00,4500.00,4500.00,400,1800000
2026-03-10,BREN,RG,7350.00,7150.00,7425.00,7550.00,7150.00,6038800,43751017500
2026-03-10,BRIS,RG,2190.00,2210.00,2210.00,2250.00,2170.00,16801800,37134940000
2026-03-10,BRMS,RG,755.00,855.00,790.00,875.00,775.00,364999000,300618659000
2026-03-10,BRNA,RG,670.00,660.00,670.00,690.00,660.00,3100,2118500
2026-03-10,BRPT,RG,1500.00,1500.00,1565.00,1575.00,1485.00,82961500,126547985500
2026-03-10,BSBK,RG,57.00,58.00,57.00,60.00,57.00,12878200,747558200
