Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2023-03-21,AALI,RG,7875.00,7900.00,7875.00,7925.00,7850.00,242200,1913177500
2023-03-21,ABBA,RG,95.00,95.00,95.00,98.00,94.00,2062900,198051500
2023-03-21,ABDA,RG,6475.00,6475.00,0.00,0.00,0.00,0,0
2023-03-21,ABMM,RG,2690.00,2680.00,2670.00,2720.00,2670.00,369600,989937000
2023-03-21,ACES,RG,450.00,450.00,452.00,458.00,444.00,80720100,36374799800
2023-03-21,ACST,RG,125.00,128.00,125.00,132.00,124.00,10084200,1299911700
2023-03-21,ADCP,RG,57.00,60.00,57.00,64.00,56.00,23399200,1413671100
2023-03-21,ADES,RG,6600.00,6775.00,6600.00,6825.00,6600.00,48300,326365000
2023-03-21,ADHI,RG,402.00,408.00,402.00,408.00,400.00,6956100,2817361000
2023-03-21,ADMF,RG,9950.00,9950.00,9975.00,10000.00,9900.00,25800,256115000
2023-03-21,ADMG,RG,130.00,129.00,133.00,134.00,128.00,110000,14239600
2023-03-21,ADMR,RG,1095.00,1140.00,1100.00,1165.00,1090.00,59429700,67557124000
2023-03-21,ADRO,RG,2720.00,2730.00,2720.00,2730.00,2690.00,25776000,70027898000
2023-03-21,AGAR,RG,266.00,254.00,256.00,272.00,252.00,1000,256400
2023-03-21,AGII,RG,1925.00,1955.00,1935.00,1960.00,1930.00,1182900,2310968500
2023-03-21,AGRO,RG,358.00,364.00,360.00,368.00,360.00,8749700,3193706800
2023-03-21,AGRS,RG,80.00,82.00,81.00,83.00,80.00,3693000,299616300
2023-03-21,AHAP,RG,52.00,50.00,52.00,54.00,50.00,43818600,2200129700
2023-03-21,AIMS,RG,308.00,306.00,308.00,318.00,300.00,195800,59984400
2023-03-21,AISA,RG,144.00,145.00,144.00,146.00,144.00,847500,122696700
2023-03-21,AKKU,RG,50.00,50.00,50.00,50.00,50.00,200100,10005000
2023-03-21,AKPI,RG,1200.00,1220.00,1220.00,1220.00,1220.00,100,122000
2023-03-21,AKRA,RG,1405.00,1425.00,1410.00,1430.00,1405.00,21675300,30773780000
2023-03-21,AKSI,RG,246.00,250.00,254.00,254.00,248.00,38100,9582400
2023-03-21,ALDO,RG,740.00,755.00,740.00,770.00,740.00,61600,46776500
2023-03-21,ALKA,RG,334.00,324.00,326.00,334.00,322.00,10500,3440600
2023-03-21,ALMI,RG,238.00,232.00,230.00,238.00,226.00,48700,11224600
2023-03-21,ALTO,RG,50.00,50.00,50.00,50.00,50.00,408600,20430000
2023-03-21,AMAG,RG,376.00,384.00,380.00,386.00,374.00,47700,18202600
2023-03-21,AMAN,RG,498.00,464.00,490.00,510.00,464.00,2554000,1191247800
2023-03-21,AMAR,RG,318.00,326.00,318.00,326.00,318.00,6309500,2035248400
2023-03-21,AMFG,RG,5300.00,5350.00,5300.00,5350.00,5275.00,8300,44367500
2023-03-21,AMIN,RG,98.00,98.00,98.00,102.00,96.00,212100,20707700
2023-03-21,AMMS,RG,40.00,42.00,40.00,43.00,39.00,2322400,92051200
2023-03-21,AMOR,RG,1035.00,1070.00,1035.00,1070.00,1035.00,8200,8767000
2023-03-21,AMRT,RG,2850.00,2900.00,2850.00,2900.00,2810.00,8768600,25226614000
2023-03-21,ANDI,RG,50.00,50.00,50.00,50.00,50.00,700,35000
2023-03-21,ANJT,RG,680.00,680.00,690.00,690.00,675.00,1753400,1191088000
2023-03-21,ANTM,RG,1900.00,1885.00,1910.00,1915.00,1885.00,33143800,62767919500
2023-03-21,APEX,RG,133.00,138.00,134.00,139.00,133.00,131500,18010300
2023-03-21,APIC,RG,1180.00,1165.00,1180.00,1185.00,1165.00,6470800,7572890500
2023-03-21,APII,RG,186.00,190.00,186.00,190.00,186.00,143600,27266400
2023-03-21,APLI,RG,278.00,278.00,278.00,280.00,278.00,2900,806800
2023-03-21,APLN,RG,128.00,129.00,129.00,133.00,128.00,5365400,702579300
2023-03-21,ARCI,RG,380.00,372.00,382.00,382.00,366.00,15411100,5733830400
2023-03-21,ARGO,RG,645.00,605.00,645.00,645.00,605.00,11500,7232500
2023-03-21,ARII,RG,220.00,224.00,220.00,226.00,220.00,55800,12355000
2023-03-21,ARKA,RG,50.00,50.00,50.00,50.00,50.00,1431000,71550000
2023-03-21,ARKO,RG,600.00,600.00,595.00,605.00,595.00,3289400,1983682500
2023-03-21,ARNA,RG,955.00,960.00,955.00,965.00,945.00,1085100,1035187500
2023-03-21,ARTA,RG,2120.00,2120.00,0.00,0.00,0.00,0,0
2023-03-21,ARTO,RG,2140.00,2350.00,2170.00,2370.00,2170.00,49892500,114704877000
2023-03-21,ASBI,RG,496.00,500.00,520.00,535.00,486.00,11700,6170300
2023-03-21,ASDM,RG,940.00,940.00,940.00,940.00,940.00,100,94000
2023-03-21,ASGR,RG,930.00,945.00,930.00,955.00,925.00,354800,331683500
2023-03-21,ASHA,RG,95.00,97.00,94.00,99.00,93.00,43364500,4179669500
2023-03-21,ASII,RG,5875.00,5875.00,5850.00,5975.00,5850.00,35447800,209572762500
2023-03-21,ASJT,RG,126.00,129.00,126.00,129.00,126.00,25000,3187500
2023-03-21,ASLC,RG,80.00,81.00,81.00,84.00,78.00,82148100,6687730100
2023-03-21,ASMI,RG,52.00,52.00,52.00,52.00,50.00,159700,8082700
