Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2025-12-11,AADI,RG,7375.00,7075.00,7400.00,7425.00,7025.00,18794600,134916912500
2025-12-11,AALI,RG,7825.00,7425.00,7825.00,7825.00,7400.00,3180000,23918117500
2025-12-11,ABBA,RG,56.00,55.00,56.00,56.00,54.00,1278100,70323400
2025-12-11,ABDA,RG,2690.00,2690.00,0.00,0.00,0.00,0,0
2025-12-11,ABMM,RG,2860.00,2800.00,2860.00,2860.00,2800.00,934500,2628212000
2025-12-11,ACES,RG,418.00,416.00,418.00,422.00,414.00,50689000,21118544200
2025-12-11,ACRO,RG,88.00,86.00,88.00,89.00,85.00,6578500,571804200
2025-12-11,ACST,RG,136.00,136.00,138.00,142.00,135.00,6511000,896077600
2025-12-11,ADCP,RG,57.00,58.00,58.00,60.00,57.00,44063400,2554585500
2025-12-11,ADES,RG,15550.00,15325.00,15500.00,15550.00,15300.00,24500,377830000
2025-12-11,ADHI,RG,248.00,246.00,250.00,250.00,240.00,10821500,2635265400
2025-12-11,ADMF,RG,8475.00,8375.00,8475.00,8500.00,8375.00,213400,1798932500
2025-12-11,ADMG,RG,170.00,164.00,170.00,172.00,164.00,835100,139781700
2025-12-11,ADMR,RG,1405.00,1360.00,1425.00,1490.00,1315.00,134782700,189701523000
2025-12-11,ADRO,RG,1830.00,1780.00,1840.00,1865.00,1765.00,115890200,209289533500
2025-12-11,AGAR,RG,240.00,240.00,242.00,246.00,238.00,24600,5909600
2025-12-11,AGII,RG,1630.00,1595.00,1620.00,1660.00,1560.00,2646500,4250701000
2025-12-11,AGRO,RG,230.00,228.00,232.00,240.00,228.00,40172700,9396323200
2025-12-11,AGRS,RG,76.00,77.00,75.00,79.00,75.00,35939300,2751165900
2025-12-11,AHAP,RG,99.00,97.00,100.00,102.00,96.00,51211200,5063645700
2025-12-11,AIMS,RG,430.00,430.00,424.00,436.00,422.00,1843900,793346200
2025-12-11,AISA,RG,142.00,141.00,144.00,144.00,137.00,20902000,2929285300
2025-12-11,AKKU,RG,39.00,36.00,39.00,39.00,36.00,382100,14815500
2025-12-11,AKPI,RG,570.00,565.00,565.00,570.00,560.00,31400,17802500
2025-12-11,AKRA,RG,1270.00,1235.00,1275.00,1280.00,1225.00,9875600,12295010500
2025-12-11,AKSI,RG,484.00,432.00,484.00,486.00,426.00,1267600,569541400
2025-12-11,ALDO,RG,655.00,665.00,655.00,670.00,625.00,331800,218310000
2025-12-11,ALKA,RG,362.00,360.00,362.00,362.00,350.00,38700,13681600
2025-12-11,ALMI,RG,74.00,74.00,0.00,0.00,0.00,0,0
2025-12-11,ALTO,RG,18.00,18.00,0.00,0.00,0.00,0,0
2025-12-11,AMAG,RG,378.00,378.00,378.00,380.00,378.00,48600,18371600
2025-12-11,AMAN,RG,191.00,187.00,196.00,196.00,186.00,5092300,963006600
2025-12-11,AMAR,RG,234.00,230.00,234.00,238.00,228.00,1323500,307189800
2025-12-11,AMFG,RG,3060.00,3050.00,3080.00,3120.00,3050.00,137200,419335000
2025-12-11,AMIN,RG,248.00,248.00,250.00,252.00,246.00,69000,17103400
2025-12-11,AMMN,RG,6300.00,6350.00,6300.00,6375.00,6075.00,25535500,159757097500
2025-12-11,AMMS,RG,430.00,428.00,434.00,450.00,420.00,1862200,798979400
2025-12-11,AMOR,RG,384.00,380.00,388.00,388.00,380.00,202900,77669600
2025-12-11,AMRT,RG,1925.00,1910.00,1925.00,1930.00,1875.00,57223600,109264758000
2025-12-11,ANDI,RG,33.00,32.00,36.00,36.00,32.00,20616400,713590000
2025-12-11,ANJT,RG,1805.00,1800.00,1805.00,1805.00,1770.00,572600,1023579500
2025-12-11,ANTM,RG,2930.00,2890.00,2950.00,2980.00,2870.00,95234500,277122353000
2025-12-11,APEX,RG,266.00,262.00,270.00,284.00,260.00,92977000,25288972600
2025-12-11,APIC,RG,1425.00,1460.00,1510.00,1545.00,1445.00,145900,218823000
2025-12-11,APII,RG,199.00,196.00,202.00,202.00,194.00,569300,111779200
2025-12-11,APLI,RG,428.00,424.00,428.00,428.00,416.00,90400,38083800
2025-12-11,APLN,RG,106.00,104.00,106.00,107.00,102.00,40703800,4221539300
2025-12-11,ARCI,RG,1380.00,1375.00,1395.00,1430.00,1360.00,132458100,183858430500
2025-12-11,AREA,RG,600.00,575.00,605.00,610.00,565.00,5389000,3172881000
2025-12-11,ARGO,RG,1000.00,990.00,1000.00,1000.00,985.00,5300,5245000
2025-12-11,ARII,RG,284.00,306.00,288.00,308.00,286.00,3364300,1011498800
2025-12-11,ARKA,RG,36.00,36.00,36.00,36.00,35.00,4255200,150474900
2025-12-11,ARKO,RG,4700.00,4700.00,0.00,0.00,0.00,0,0
2025-12-11,ARMY,RG,50.00,50.00,0.00,0.00,0.00,0,0
2025-12-11,ARNA,RG,535.00,535.00,530.00,540.00,520.00,7441400,3946477000
2025-12-11,ARTA,RG,2870.00,2870.00,2870.00,2920.00,2860.00,8900,25554000
2025-12-11,ARTI,RG,2.00,2.00,0.00,0.00,0.00,0,0
2025-12-11,ARTO,RG,2080.00,2050.00,2090.00,2160.00,2010.00,24348800,50908078000
2025-12-11,ASBI,RG,474.00,464.00,462.00,472.00,460.00,4700,2179800
2025-12-11,ASDM,RG,605.00,600.00,600.00,605.00,590.00,7500,4467000
2025-12-11,ASGR,RG,1200.00,1200.00,1200.00,1265.00,1185.00,355900,429927500
2025-12-11,ASHA,RG,73.00,89.00,73.00,98.00,73.00,1415395400,128366094900
2025-12-11,ASII,RG,6625.00,6450.00,6650.00,6675.00,6350.00,42116700,271358760000
2025-12-11,ASJT,RG,142.00,142.00,142.00,142.00,139.00,327200,45837200
2025-12-11,ASLC,RG,89.00,86.00,90.00,91.00,86.00,49178000,4320909800
2025-12-11,ASLI,RG,492.00,492.00,0.00,0.00,0.00,0,0
2025-12-11,ASMI,RG,33.00,34.00,33.00,34.00,33.00,2976300,99845900
2025-12-11,ASPI,RG,830.00,710.00,815.00,825.00,710.00,11241000,8187962500
2025-12-11,ASPR,RG,99.00,98.00,99.00,99.00,97.00,4474500,439944700
