Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2024-05-22,AALI,RG,6100.00,6175.00,6150.00,6175.00,6075.00,474100,2914045000
2024-05-22,ABBA,RG,30.00,30.00,30.00,30.00,29.00,41900,1217000
2024-05-22,ABDA,RG,5000.00,5000.00,0.00,0.00,0.00,0,0
2024-05-22,ABMM,RG,3790.00,3810.00,3850.00,3860.00,3780.00,4713200,18010594000
2024-05-22,ACES,RG,800.00,800.00,810.00,810.00,775.00,93985300,74714383000
2024-05-22,ACRO,RG,88.00,91.00,88.00,91.00,87.00,4477000,397178400
2024-05-22,ACST,RG,112.00,111.00,112.00,113.00,111.00,340800,38219900
2024-05-22,ADCP,RG,50.00,50.00,50.00,50.00,50.00,78900,3945000
2024-05-22,ADES,RG,10000.00,10050.00,10100.00,10100.00,10050.00,4800,48460000
2024-05-22,ADHI,RG,226.00,224.00,226.00,228.00,222.00,7423400,1664126400
2024-05-22,ADMF,RG,13000.00,13050.00,13000.00,13275.00,12525.00,171600,2228155000
2024-05-22,ADMG,RG,130.00,130.00,126.00,134.00,126.00,53600,6909100
2024-05-22,ADMR,RG,1340.00,1370.00,1340.00,1375.00,1340.00,25619400,34888642000
2024-05-22,ADRO,RG,2880.00,2920.00,2900.00,2920.00,2850.00,31385400,91188028000
2024-05-22,AGAR,RG,96.00,96.00,96.00,96.00,96.00,83800,8044800
2024-05-22,AGII,RG,1675.00,1670.00,1675.00,1675.00,1660.00,55500,92626500
2024-05-22,AGRO,RG,250.00,266.00,254.00,280.00,252.00,148823700,40243537000
2024-05-22,AGRS,RG,61.00,60.00,61.00,61.00,60.00,1740000,104412000
2024-05-22,AHAP,RG,102.00,100.00,103.00,105.00,100.00,10206500,1036845200
2024-05-22,AIMS,RG,402.00,406.00,402.00,406.00,402.00,20000,8100000
2024-05-22,AISA,RG,121.00,121.00,121.00,124.00,121.00,4738300,577554800
2024-05-22,AKKU,RG,9.00,9.00,9.00,10.00,9.00,143600,1303400
2024-05-22,AKPI,RG,585.00,615.00,570.00,675.00,570.00,10700,6456000
2024-05-22,AKRA,RG,1570.00,1595.00,1575.00,1600.00,1565.00,21673100,34499366000
2024-05-22,AKSI,RG,124.00,120.00,123.00,126.00,110.00,393500,46282900
2024-05-22,ALDO,RG,835.00,850.00,850.00,850.00,835.00,28400,24020000
2024-05-22,ALKA,RG,350.00,346.00,350.00,350.00,346.00,17300,6008600
2024-05-22,ALMI,RG,69.00,69.00,0.00,0.00,0.00,0,0
2024-05-22,ALTO,RG,11.00,11.00,11.00,11.00,10.00,888600,9759800
2024-05-22,AMAG,RG,296.00,300.00,296.00,300.00,294.00,110200,32851000
2024-05-22,AMAN,RG,98.00,96.00,98.00,99.00,96.00,170800,16565600
2024-05-22,AMAR,RG,250.00,250.00,250.00,254.00,250.00,713200,178580600
2024-05-22,AMFG,RG,4840.00,4830.00,4840.00,4840.00,4700.00,29500,141675000
2024-05-22,AMIN,RG,154.00,156.00,156.00,156.00,154.00,5200,809100
2024-05-22,AMMN,RG,10500.00,10550.00,10550.00,10750.00,10475.00,21413500,226907832500
2024-05-22,AMMS,RG,22.00,22.00,22.00,22.00,21.00,82800,1808500
2024-05-22,AMOR,RG,940.00,915.00,940.00,940.00,905.00,7100,6523000
2024-05-22,AMRT,RG,2760.00,2830.00,2800.00,2850.00,2780.00,27002500,76436220000
2024-05-22,ANDI,RG,4.00,5.00,4.00,5.00,4.00,7682900,31165900
2024-05-22,ANJT,RG,675.00,675.00,675.00,680.00,670.00,193000,129765000
2024-05-22,ANTM,RG,1565.00,1525.00,1565.00,1580.00,1520.00,42177500,64953312000
2024-05-22,APEX,RG,155.00,153.00,156.00,160.00,152.00,1328600,205955300
2024-05-22,APIC,RG,1065.00,1070.00,1065.00,1070.00,1040.00,964800,1019903000
2024-05-22,APII,RG,180.00,180.00,180.00,186.00,180.00,22400,4034100
2024-05-22,APLI,RG,610.00,580.00,580.00,610.00,580.00,13500,7863000
2024-05-22,APLN,RG,116.00,116.00,116.00,117.00,115.00,1546200,178551600
2024-05-22,ARCI,RG,306.00,302.00,306.00,310.00,292.00,11434600,3424267200
2024-05-22,AREA,RG,150.00,153.00,143.00,162.00,143.00,29619800,4631584200
2024-05-22,ARGO,RG,970.00,970.00,970.00,970.00,970.00,800,776000
2024-05-22,ARII,RG,290.00,290.00,290.00,290.00,282.00,54100,15439400
2024-05-22,ARKA,RG,8.00,8.00,8.00,9.00,8.00,823900,7055700
2024-05-22,ARKO,RG,840.00,855.00,850.00,865.00,840.00,456100,389770000
2024-05-22,ARMY,RG,50.00,50.00,0.00,0.00,0.00,0,0
2024-05-22,ARNA,RG,650.00,655.00,655.00,655.00,640.00,1225500,793756000
2024-05-22,ARTA,RG,2580.00,2550.00,2550.00,2550.00,2550.00,36500,93075000
2024-05-22,ARTI,RG,3.00,3.00,3.00,3.00,3.00,980500,2941500
2024-05-22,ARTO,RG,2350.00,2390.00,2370.00,2430.00,2340.00,20299300,48593604000
2024-05-22,ASBI,RG,820.00,795.00,795.00,795.00,795.00,100,79500
2024-05-22,ASDM,RG,466.00,464.00,466.00,468.00,464.00,67900,31598000
2024-05-22,ASGR,RG,760.00,765.00,765.00,770.00,760.00,505400,385842000
2024-05-22,ASHA,RG,50.00,50.00,50.00,50.00,50.00,12300,615000
2024-05-22,ASII,RG,4700.00,4710.00,4720.00,4730.00,4700.00,25932300,122182703000
2024-05-22,ASJT,RG,120.00,119.00,119.00,120.00,117.00,538500,63575300
2024-05-22,ASLC,RG,93.00,92.00,93.00,95.00,92.00,13837700,1284736400
2024-05-22,ASLI,RG,50.00,50.00,50.00,50.00,50.00,241400,12070000
2024-05-22,ASMI,RG,15.00,14.00,15.00,15.00,14.00,206900,2931300
2024-05-22,ASPI,RG,200.00,204.00,200.00,206.00,197.00,4454800,897577900
2024-05-22,ASRI,RG,138.00,136.00,137.00,139.00,136.00,2636200,360817200
2024-05-22,ASRM,RG,388.00,388.00,390.00,390.00,388.00,5000,1944200
2024-05-22,ASSA,RG,800.00,790.00,800.00,805.00,785.00,4909400,3896036500
2024-05-22,ATAP,RG,50.00,50.00,50.00,50.00,50.00,1700,85000
2024-05-22,ATIC,RG,362.00,366.00,362.00,366.00,360.00,60800,22019600
2024-05-22,ATLA,RG,66.00,68.00,55.00,68.00,55.00,349774100,22141301900
2024-05-22,AUTO,RG,1980.00,1985.00,2000.00,2010.00,1965.00,2273700,4511311500
2024-05-22,AVIA,RG,500.00,510.00,500.00,510.00,498.00,23347300,11770970700
2024-05-22,AWAN,RG,308.00,312.00,310.00,340.00,302.00,1234100,388226800
