Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2023-08-16,AALI,RG,7700.00,7700.00,7725.00,7725.00,7650.00,314200,2415127500
2023-08-16,ABBA,RG,75.00,74.00,76.00,76.00,73.00,6290600,468543100
2023-08-16,ABDA,RG,6100.00,6100.00,0.00,0.00,0.00,0,0
2023-08-16,ABMM,RG,4080.00,4060.00,4090.00,4110.00,3980.00,2544300,10259213000
2023-08-16,ACES,RG,720.00,715.00,720.00,730.00,710.00,40146100,28761256500
2023-08-16,ACST,RG,150.00,158.00,150.00,162.00,150.00,21591900,3413180400
2023-08-16,ADCP,RG,57.00,57.00,57.00,58.00,57.00,4995700,284821600
2023-08-16,ADES,RG,12100.00,11950.00,12100.00,12250.00,11950.00,94200,1141167500
2023-08-16,ADHI,RG,452.00,448.00,454.00,458.00,446.00,8518900,3848352800
2023-08-16,ADMF,RG,11450.00,11450.00,11425.00,11450.00,11325.00,49600,564667500
2023-08-16,ADMG,RG,157.00,156.00,155.00,159.00,155.00,619400,96790700
2023-08-16,ADMR,RG,1155.00,1110.00,1155.00,1155.00,1105.00,55048400,62001324500
2023-08-16,ADRO,RG,2510.00,2520.00,2510.00,2540.00,2490.00,45090600,113539856000
2023-08-16,AGAR,RG,179.00,179.00,0.00,0.00,0.00,0,0
2023-08-16,AGII,RG,1900.00,1885.00,1905.00,1920.00,1880.00,288200,544841500
2023-08-16,AGRO,RG,374.00,372.00,374.00,382.00,372.00,17769900,6711250800
2023-08-16,AGRS,RG,92.00,92.00,91.00,92.00,90.00,1975600,180008500
2023-08-16,AHAP,RG,83.00,83.00,80.00,88.00,80.00,16242400,1365033600
2023-08-16,AIMS,RG,336.00,316.00,322.00,336.00,316.00,7900,2539200
2023-08-16,AISA,RG,135.00,136.00,135.00,137.00,135.00,2580500,350843400
2023-08-16,AKKU,RG,50.00,50.00,0.00,0.00,0.00,0,0
2023-08-16,AKPI,RG,940.00,935.00,945.00,950.00,935.00,10700,10103500
2023-08-16,AKRA,RG,1305.00,1310.00,1310.00,1315.00,1295.00,11635400,15190171500
2023-08-16,AKSI,RG,174.00,172.00,171.00,178.00,169.00,32000,5466500
2023-08-16,ALDO,RG,670.00,670.00,685.00,685.00,660.00,35600,23645500
2023-08-16,ALKA,RG,720.00,685.00,720.00,720.00,630.00,139000,94579500
2023-08-16,ALMI,RG,236.00,206.00,232.00,232.00,206.00,213000,45948800
2023-08-16,ALTO,RG,50.00,50.00,50.00,50.00,50.00,16000,800000
2023-08-16,AMAG,RG,340.00,344.00,340.00,344.00,338.00,63300,21536000
2023-08-16,AMAN,RG,129.00,130.00,129.00,137.00,129.00,31573800,4194714000
2023-08-16,AMAR,RG,284.00,284.00,286.00,290.00,282.00,8681700,2485577400
2023-08-16,AMFG,RG,5600.00,5550.00,5575.00,5600.00,5525.00,148100,822847500
2023-08-16,AMIN,RG,122.00,122.00,122.00,123.00,119.00,321800,39085900
2023-08-16,AMMN,RG,3190.00,3300.00,3200.00,3300.00,3170.00,52448700,169917416000
2023-08-16,AMMS,RG,36.00,35.00,36.00,37.00,35.00,851200,29975800
2023-08-16,AMOR,RG,1030.00,1045.00,1075.00,1075.00,1045.00,3600,3846000
2023-08-16,AMRT,RG,2910.00,2940.00,2910.00,3030.00,2910.00,34517600,102095953000
2023-08-16,ANDI,RG,50.00,50.00,50.00,50.00,50.00,400,20000
2023-08-16,ANJT,RG,800.00,805.00,800.00,810.00,795.00,1220700,980638500
2023-08-16,ANTM,RG,1990.00,1960.00,1985.00,1990.00,1960.00,68961200,135678835500
