Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2023-06-21,AALI,RG,7550.00,7600.00,7550.00,7600.00,7500.00,717400,5426580000
2023-06-21,ABBA,RG,89.00,90.00,90.00,93.00,90.00,3813900,345999200
2023-06-21,ABMM,RG,3000.00,3000.00,3000.00,3030.00,2960.00,1210900,3619730000
2023-06-21,ACES,RG,605.00,690.00,610.00,700.00,610.00,264133400,174609103500
2023-06-21,ACST,RG,129.00,130.00,130.00,131.00,129.00,2269100,294437900
2023-06-21,ADCP,RG,60.00,60.00,60.00,62.00,60.00,2430700,148034300
2023-06-21,ADES,RG,8625.00,8500.00,8625.00,8650.00,8350.00,73800,628957500
2023-06-21,ADHI,RG,476.00,482.00,476.00,496.00,474.00,33014000,15972156400
2023-06-21,ADMF,RG,10250.00,10225.00,10175.00,10250.00,10175.00,70400,720622500
2023-06-21,ADMG,RG,141.00,141.00,141.00,142.00,140.00,27300,3849700
2023-06-21,ADMR,RG,805.00,840.00,805.00,845.00,795.00,22689500,18687744000
2023-06-21,ADRO,RG,2270.00,2260.00,2270.00,2290.00,2250.00,29839600,67485243000
2023-06-21,AGII,RG,1900.00,1890.00,1900.00,1900.00,1875.00,229700,432307500
2023-06-21,AGRO,RG,376.00,384.00,376.00,386.00,374.00,18770100,7159873000
2023-06-21,AGRS,RG,90.00,90.00,90.00,90.00,88.00,3241600,288330300
2023-06-21,AHAP,RG,64.00,64.00,64.00,64.00,62.00,2069800,131053200
2023-06-21,AIMS,RG,212.00,210.00,212.00,222.00,208.00,27700,5790200
2023-06-21,AISA,RG,141.00,142.00,142.00,143.00,141.00,2088200,297588400
2023-06-21,AKKU,RG,50.00,50.00,50.00,50.00,50.00,1414900,70745000
2023-06-21,AKPI,RG,980.00,985.00,990.00,990.00,980.00,15900,15642000
2023-06-21,AKRA,RG,1505.00,1500.00,1505.00,1515.00,1480.00,37513800,56456137500
2023-06-21,AKSI,RG,210.00,208.00,208.00,210.00,206.00,7900,1641600
2023-06-21,ALDO,RG,605.00,625.00,605.00,630.00,600.00,361600,221454000
2023-06-21,ALKA,RG,358.00,358.00,362.00,376.00,356.00,10800,3922200
2023-06-21,ALMI,RG,226.00,230.00,224.00,230.00,208.00,107900,24483000
2023-06-21,ALTO,RG,50.00,50.00,50.00,50.00,50.00,11400,570000
2023-06-21,AMAG,RG,374.00,372.00,374.00,374.00,370.00,448800,166702000
2023-06-21,AMAN,RG,131.00,129.00,133.00,140.00,127.00,30190700,4061246800
2023-06-21,AMAR,RG,300.00,292.00,300.00,304.00,292.00,7007500,2079160600
2023-06-21,AMFG,RG,5500.00,5475.00,5425.00,5600.00,5425.00,20100,109755000
2023-06-21,AMIN,RG,116.00,115.00,109.00,116.00,109.00,114900,13153800
2023-06-21,AMMS,RG,45.00,45.00,46.00,46.00,44.00,618200,28065800
2023-06-21,AMOR,RG,1100.00,1100.00,0.00,0.00,0.00,0,0
2023-06-21,AMRT,RG,2580.00,2590.00,2560.00,2610.00,2550.00,41661800,107369971000
2023-06-21,ANDI,RG,50.00,50.00,50.00,50.00,50.00,1000,50000
2023-06-21,ANJT,RG,705.00,705.00,705.00,715.00,700.00,809700,573408000
2023-06-21,ANTM,RG,2020.00,2010.00,2010.00,2030.00,2000.00,19182300,38625193000
2023-06-21,APEX,RG,155.00,157.00,155.00,158.00,154.00,129200,20079000
2023-06-21,APIC,RG,1080.00,1070.00,1080.00,1080.00,1065.00,3660100,3930455500
2023-06-21,APII,RG,190.00,188.00,190.00,190.00,188.00,1700,319800
2023-06-21,APLI,RG,392.00,394.00,392.00,400.00,380.00,104900,41167800
2023-06-21,APLN,RG,140.00,142.00,141.00,142.00,139.00,14074800,1981683700
2023-06-21,ARCI,RG,336.00,346.00,336.00,350.00,334.00,7048500,2406120600
2023-06-21,ARGO,RG,450.00,450.00,450.00,450.00,450.00,300,135000
2023-06-21,ARII,RG,154.00,152.00,154.00,154.00,150.00,113300,17144100
2023-06-21,ARKA,RG,50.00,50.00,50.00,50.00,50.00,36400,1820000
2023-06-21,ARKO,RG,635.00,655.00,635.00,680.00,635.00,10623200,6987665000
2023-06-21,ARNA,RG,890.00,890.00,890.00,900.00,875.00,9248500,8213823000
2023-06-21,ARTA,RG,1760.00,1760.00,0.00,0.00,0.00,0,0
2023-06-21,ARTO,RG,2910.00,3220.00,2910.00,3230.00,2900.00,40265400,125072084000
2023-06-21,ASBI,RG,525.00,550.00,525.00,550.00,525.00,75600,40843000
2023-06-21,ASDM,RG,940.00,950.00,940.00,950.00,940.00,3100,2943000
2023-06-21,ASGR,RG,935.00,930.00,935.00,935.00,925.00,164500,152968000
2023-06-21,ASHA,RG,101.00,105.00,101.00,107.00,100.00,65902800,6828336200
2023-06-21,ASII,RG,6800.00,6925.00,6775.00,6975.00,6750.00,37659000,260092737500
2023-06-21,ASJT,RG,116.00,116.00,116.00,116.00,116.00,60900,7064400
2023-06-21,ASLC,RG,93.00,94.00,93.00,96.00,91.00,19201600,1801466400
2023-06-21,ASMI,RG,50.00,50.00,50.00,50.00,50.00,20700,1035000
2023-06-21,ASPI,RG,161.00,168.00,162.00,174.00,161.00,2687400,455060600
2023-06-21,ASRI,RG,185.00,184.00,188.00,188.00,183.00,9539300,1759954400
2023-06-21,ASRM,RG,1690.00,1560.00,1560.00,1560.00,1560.00,200,312000
2023-06-21,ASSA,RG,1295.00,1295.00,1280.00,1320.00,1280.00,4954600,6450033500
2023-06-21,ATAP,RG,63.00,67.00,60.00,82.00,60.00,64228700,4756546700
2023-06-21,ATIC,RG,338.00,336.00,336.00,336.00,336.00,200,67200
2023-06-21,AUTO,RG,2380.00,2520.00,2380.00,2540.00,2360.00,10770800,26618440000
