Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2023-08-11,AALI,RG,7775.00,7725.00,7775.00,7775.00,7650.00,274700,2113007500
2023-08-11,ABBA,RG,79.00,78.00,79.00,80.00,78.00,3899200,306919000
2023-08-11,ABMM,RG,3980.00,4020.00,3990.00,4080.00,3970.00,4438300,17854525000
2023-08-11,ACES,RG,700.00,700.00,700.00,700.00,685.00,26824100,18581185000
2023-08-11,ACST,RG,144.00,146.00,145.00,148.00,145.00,4418600,646086000
2023-08-11,ADCP,RG,57.00,58.00,57.00,58.00,56.00,2801900,159892700
2023-08-11,ADES,RG,11725.00,11700.00,11725.00,11875.00,11675.00,61500,720412500
2023-08-11,ADHI,RG,434.00,448.00,434.00,454.00,434.00,18793000,8414091600
2023-08-11,ADMF,RG,11750.00,11725.00,11750.00,11825.00,11700.00,48500,568287500
2023-08-11,ADMG,RG,160.00,161.00,150.00,162.00,150.00,551700,86998200
2023-08-11,ADMR,RG,1010.00,995.00,1010.00,1010.00,990.00,9550300,9527183000
2023-08-11,ADRO,RG,2410.00,2360.00,2410.00,2420.00,2350.00,30001700,71339421000
2023-08-11,AGII,RG,1905.00,1915.00,1905.00,1920.00,1900.00,224800,429852000
2023-08-11,AGRO,RG,364.00,368.00,364.00,370.00,364.00,3127800,1147730800
2023-08-11,AGRS,RG,93.00,93.00,93.00,93.00,91.00,3622000,333123500
2023-08-11,AHAP,RG,60.00,62.00,61.00,65.00,61.00,11501400,731522100
2023-08-11,AIMS,RG,344.00,336.00,344.00,344.00,336.00,7800,2661000
2023-08-11,AISA,RG,140.00,135.00,140.00,141.00,135.00,5731400,795190600
2023-08-11,AKKU,RG,50.00,50.00,50.00,50.00,50.00,1481400,74070000
2023-08-11,AKPI,RG,950.00,950.00,955.00,955.00,940.00,3300,3114500
2023-08-11,AKRA,RG,1285.00,1260.00,1285.00,1290.00,1260.00,28875900,36691888500
2023-08-11,AKSI,RG,178.00,178.00,185.00,185.00,177.00,16900,3006700
2023-08-11,ALDO,RG,695.00,690.00,685.00,700.00,675.00,123700,84311000
2023-08-11,ALKA,RG,825.00,820.00,825.00,835.00,720.00,88600,70221000
2023-08-11,ALMI,RG,226.00,228.00,236.00,240.00,226.00,67400,15703000
2023-08-11,ALTO,RG,50.00,50.00,50.00,50.00,50.00,31000,1550000
2023-08-11,AMAG,RG,342.00,340.00,344.00,344.00,340.00,23700,8113600
2023-08-11,AMAN,RG,129.00,128.00,129.00,131.00,127.00,3181600,409752700
2023-08-11,AMAR,RG,286.00,280.00,288.00,292.00,280.00,5420100,1551046000
2023-08-11,AMFG,RG,5625.00,5625.00,5600.00,5700.00,5600.00,242700,1359587500
2023-08-11,AMIN,RG,120.00,119.00,120.00,120.00,118.00,301900,35774800
2023-08-11,AMMN,RG,3000.00,3010.00,3000.00,3020.00,2990.00,25576200,76861776000
2023-08-11,AMMS,RG,34.00,36.00,36.00,37.00,34.00,2075000,76145900
2023-08-11,AMOR,RG,1030.00,1030.00,1095.00,1095.00,1030.00,8400,8716000
2023-08-11,AMRT,RG,2780.00,2840.00,2800.00,2870.00,2780.00,15108900,42954792000
2023-08-11,ANDI,RG,50.00,50.00,50.00,50.00,50.00,100,5000
2023-08-11,ANJT,RG,805.00,805.00,805.00,810.00,795.00,1193600,960414500
2023-08-11,ANTM,RG,1990.00,1995.00,1995.00,2000.00,1980.00,21536300,42790949500
2023-08-11,APEX,RG,177.00,172.00,175.00,176.00,155.00,1358400,227919000
2023-08-11,APIC,RG,1080.00,1070.00,1080.00,1080.00,1070.00,3036300,3266380500
2023-08-11,APII,RG,191.00,192.00,191.00,192.00,191.00,29600,5654500
2023-08-11,APLI,RG,540.00,540.00,540.00,540.00,500.00,63400,33031000
2023-08-11,APLN,RG,163.00,163.00,163.00,165.00,162.00,12129900,1979435400
2023-08-11,ARCI,RG,426.00,404.00,426.00,426.00,402.00,24840300,10272155800
2023-08-11,ARGO,RG,498.00,510.00,510.00,510.00,510.00,100,51000
2023-08-11,ARII,RG,196.00,204.00,197.00,208.00,196.00,2037200,411120200
2023-08-11,ARKA,RG,50.00,50.00,50.00,50.00,50.00,5752000,287600000
2023-08-11,ARKO,RG,655.00,660.00,660.00,675.00,645.00,10207100,6748724500
2023-08-11,ARNA,RG,770.00,790.00,765.00,795.00,760.00,4956700,3842842500
2023-08-11,ARTA,RG,1600.00,1600.00,0.00,0.00,0.00,0,0
2023-08-11,ARTO,RG,2560.00,2610.00,2560.00,2620.00,2560.00,9404600,24367742000
2023-08-11,ASBI,RG,530.00,530.00,0.00,0.00,0.00,0,0
2023-08-11,ASDM,RG,945.00,945.00,945.00,945.00,945.00,200,189000
2023-08-11,ASGR,RG,1070.00,1055.00,1070.00,1070.00,1055.00,1092900,1155179500
2023-08-11,ASHA,RG,139.00,148.00,139.00,149.00,138.00,80361400,11607555500
2023-08-11,ASII,RG,6750.00,6725.00,6750.00,6775.00,6650.00,33574700,224737460000
2023-08-11,ASJT,RG,110.00,119.00,113.00,129.00,112.00,849100,101847600
2023-08-11,ASLC,RG,116.00,114.00,116.00,118.00,114.00,9271900,1065590900
2023-08-11,ASMI,RG,50.00,50.00,50.00,50.00,50.00,20000,1000000
2023-08-11,ASPI,RG,382.00,380.00,382.00,384.00,374.00,4749000,1796674800
2023-08-11,ASRI,RG,185.00,184.00,184.00,185.00,183.00,6441900,1183667800
2023-08-11,ASRM,RG,1650.00,1650.00,1650.00,1650.00,1650.00,700,1155000
2023-08-11,ASSA,RG,1125.00,1120.00,1130.00,1135.00,1110.00,1911500,2144037500
2023-08-11,ATAP,RG,60.00,60.00,56.00,60.00,56.00,210600,12438000
2023-08-11,ATIC,RG,352.00,360.00,350.00,360.00,344.00,30200,10576200
2023-08-11,AUTO,RG,3450.00,3450.00,3550.00,3600.00,3400.00,9672800,33563233000
2023-08-11,AVIA,RG,640.00,635.00,640.00,645.00,620.00,4514100,2836118000
2023-08-11,AWAN,RG,260.00,262.00,260.00,266.00,260.00,2963400,775143400
2023-08-11,AXIO,RG,151.00,154.00,152.00,158.00,151.00,2063100,318635500
2023-08-11,AYLS,RG,70.00,69.00,69.00,70.00,68.00,1374900,94491500
2023-08-11,BABP,RG,80.00,80.00,79.00,80.00,79.00,4194700,331463600
2023-08-11,BACA,RG,131.00,130.00,130.00,134.00,130.00,3822600,502365200
2023-08-11,BAJA,RG,169.00,155.00,169.00,169.00,150.00,9718500,1488054900
2023-08-11,BALI,RG,815.00,805.00,815.00,815.00,800.00,10900,8765000
2023-08-11,BANK,RG,1215.00,1205.00,1225.00,1235.00,1200.00,7106900,8655932500
2023-08-11,BAPA,RG,78.00,76.00,78.00,78.00,73.00,1249300,94177300
2023-08-11,BATA,RG,390.00,386.00,386.00,386.00,386.00,17500,6755000
2023-08-11,BAUT,RG,50.00,50.00,50.00,50.00,50.00,13600,680000
2023-08-11,BAYU,RG,1455.00,1445.00,1450.00,1450.00,1420.00,101000,145779500
2023-08-11,BBCA,RG,9400.00,9375.00,9425.00,9450.00,9375.00,56443800,531346692500
2023-08-11,BBHI,RG,1555.00,1515.00,1560.00,1565.00,1515.00,698400,1066150500
2023-08-11,BBKP,RG,98.00,98.00,100.00,101.00,96.00,72729800,7098868400
2023-08-11,BBLD,RG,785.00,770.00,795.00,795.00,750.00,48900,37278500
2023-08-11,BBMD,RG,1900.00,1900.00,0.00,0.00,0.00,0,0
2023-08-11,BBNI,RG,9100.00,9050.00,9100.00,9125.00,9050.00,12178500,110627405000
2023-08-11,BBRI,RG,5700.00,5650.00,5675.00,5700.00,5650.00,54159500,307581192500
2023-08-11,BBRM,RG,62.00,62.00,62.00,64.00,61.00,173800,10845200
2023-08-11,BBSI,RG,3650.00,3650.00,3650.00,3650.00,3650.00,9100,33215000
2023-08-11,BBSS,RG,88.00,75.00,88.00,90.00,75.00,36917100,2910729900
2023-08-11,BBTN,RG,1295.00,1295.00,1295.00,1300.00,1290.00,6841500,8849070500
2023-08-11,BBYB,RG,392.00,398.00,392.00,408.00,392.00,10637300,4257240400
2023-08-11,BCAP,RG,55.00,55.00,55.00,56.00,55.00,5821700,321089500
2023-08-11,BCIC,RG,142.00,148.00,143.00,164.00,143.00,23345100,3631043700
2023-08-11,BCIP,RG,62.00,63.00,62.00,63.00,61.00,999400,62353900
2023-08-11,BDKR,RG,416.00,428.00,414.00,428.00,414.00,30195200,12787200000
2023-08-11,BDMN,RG,3010.00,3000.00,3010.00,3030.00,2990.00,1434400,4306953000
2023-08-11,BEBS,RG,50.00,50.00,50.00,50.00,50.00,134700,6735000
2023-08-11,BEEF,RG,119.00,117.00,119.00,121.00,112.00,4435900,514093100
2023-08-11,BEER,RG,322.00,320.00,322.00,322.00,318.00,167500,53488600
2023-08-11,BEKS,RG,50.00,50.00,50.00,50.00,50.00,26200,1310000
2023-08-11,BELI,RG,456.00,454.00,454.00,456.00,452.00,8727600,3947797000
2023-08-11,BELL,RG,116.00,119.00,116.00,119.00,115.00,6674300,783169300
2023-08-11,BESS,RG,175.00,168.00,174.00,174.00,163.00,1172600,197308500
2023-08-11,BEST,RG,161.00,159.00,161.00,162.00,159.00,18184000,2917941100
2023-08-11,BFIN,RG,1230.00,1230.00,1230.00,1240.00,1220.00,11208700,13797409500
2023-08-11,BGTG,RG,91.00,92.00,91.00,93.00,90.00,10497900,959084100
2023-08-11,BHAT,RG,492.00,492.00,492.00,492.00,490.00,6011700,2957755400
2023-08-11,BHIT,RG,53.00,53.00,52.00,53.00,51.00,49687000,2583185500
2023-08-11,BIKA,RG,75.00,75.00,78.00,78.00,75.00,2200,170200
2023-08-11,BIKE,RG,410.00,406.00,408.00,414.00,400.00,4554100,1848533200
2023-08-11,BIMA,RG,76.00,83.00,83.00,83.00,76.00,601900,49077200
2023-08-11,BINA,RG,3970.00,3970.00,3970.00,3970.00,3960.00,40400,160213000
2023-08-11,BINO,RG,126.00,127.00,126.00,127.00,124.00,1724700,216019400
2023-08-11,BIPI,RG,117.00,116.00,119.00,119.00,115.00,9187400,1069573900
2023-08-11,BIPP,RG,50.00,50.00,50.00,50.00,50.00,100,5000
2023-08-11,BIRD,RG,2330.00,2330.00,2330.00,2360.00,2300.00,1663500,3864174000
2023-08-11,BISI,RG,1415.00,1415.00,1415.00,1415.00,1405.00,17500,24713000
2023-08-11,BJBR,RG,1185.00,1190.00,1185.00,1190.00,1180.00,1518700,1802919000
2023-08-11,BJTM,RG,655.00,660.00,655.00,660.00,655.00,5340600,3501880500
2023-08-11,BKDP,RG,50.00,50.00,50.00,50.00,50.00,200,10000
2023-08-11,BKSL,RG,50.00,50.00,50.00,51.00,50.00,62081400,3104190800
2023-08-11,BKSW,RG,87.00,87.00,87.00,89.00,87.00,2305400,202800300
2023-08-11,BLTA,RG,50.00,50.00,50.00,50.00,50.00,2700,135000
2023-08-11,BLTZ,RG,2480.00,2980.00,2550.00,3090.00,2480.00,82100,238930000
