Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2023-10-31,AALI,RG,7000.00,7050.00,7050.00,7075.00,6950.00,803800,5625095000
2023-10-31,ABBA,RG,73.00,73.00,74.00,77.00,72.00,32478600,2432586900
2023-10-31,ABDA,RG,6000.00,6000.00,0.00,0.00,0.00,0,0
2023-10-31,ABMM,RG,3850.00,3820.00,3850.00,3850.00,3720.00,2430000,9211492000
2023-10-31,ACES,RG,830.00,800.00,830.00,835.00,785.00,87039000,69751449500
2023-10-31,ACST,RG,175.00,175.00,175.00,181.00,172.00,16966800,2996446200
2023-10-31,ADCP,RG,56.00,56.00,56.00,57.00,55.00,5225500,289599000
2023-10-31,ADES,RG,10525.00,10800.00,10700.00,11000.00,10575.00,122300,1324082500
2023-10-31,ADHI,RG,402.00,402.00,402.00,410.00,398.00,10278100,4138162200
2023-10-31,ADMF,RG,10225.00,10425.00,10250.00,10525.00,10250.00,161800,1685957500
2023-10-31,ADMG,RG,153.00,147.00,154.00,154.00,147.00,883200,134376900
2023-10-31,ADMR,RG,1115.00,1100.00,1115.00,1135.00,1060.00,22797200,24922093500
2023-10-31,ADRO,RG,2540.00,2560.00,2520.00,2600.00,2430.00,61726200,155864649000
2023-10-31,AGAR,RG,135.00,135.00,135.00,135.00,135.00,100,13500
2023-10-31,AGII,RG,1610.00,1575.00,1605.00,1610.00,1560.00,77600,122235500
2023-10-31,AGRO,RG,234.00,224.00,236.00,238.00,216.00,18440800,4119558800
2023-10-31,AGRS,RG,81.00,81.00,81.00,85.00,78.00,32496800,2680347000
2023-10-31,AHAP,RG,104.00,104.00,103.00,107.00,100.00,5731200,588629800
2023-10-31,AIMS,RG,340.00,328.00,334.00,350.00,306.00,318200,100157000
2023-10-31,AISA,RG,133.00,132.00,133.00,144.00,132.00,59320900,8235612600
2023-10-31,AKKU,RG,50.00,50.00,50.00,50.00,50.00,200,10000
2023-10-31,AKPI,RG,720.00,720.00,750.00,880.00,720.00,92800,77127500
2023-10-31,AKRA,RG,1450.00,1490.00,1460.00,1495.00,1445.00,33516800,49390375500
