Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2026-01-29,AADI,RG,7700.00,7400.00,7700.00,7700.00,6750.00,36035600,261227517500
2026-01-29,AALI,RG,7400.00,7300.00,7400.00,7475.00,6625.00,3068000,21873012500
2026-01-29,ABBA,RG,51.00,47.00,46.00,47.00,46.00,2314700,106674500
2026-01-29,ABDA,RG,2870.00,2590.00,2600.00,2600.00,2590.00,300,778000
2026-01-29,ABMM,RG,2810.00,2820.00,2800.00,2880.00,2600.00,2428800,6610058000
2026-01-29,ACES,RG,394.00,394.00,392.00,400.00,352.00,97320300,36633314800
2026-01-29,ACRO,RG,82.00,76.00,82.00,82.00,70.00,22431700,1643543100
2026-01-29,ACST,RG,136.00,129.00,136.00,136.00,116.00,21898400,2663107500
2026-01-29,ADCP,RG,55.00,54.00,55.00,56.00,50.00,43989800,2285326900
2026-01-29,ADES,RG,15200.00,15200.00,15200.00,15225.00,14025.00,220000,3260002500
2026-01-29,ADHI,RG,230.00,226.00,226.00,228.00,198.00,23781400,5022970700
2026-01-29,ADMF,RG,8325.00,8325.00,8350.00,8375.00,7975.00,771000,6258525000
2026-01-29,ADMG,RG,214.00,222.00,214.00,232.00,193.00,2191200,458461100
2026-01-29,ADMR,RG,2080.00,2100.00,2060.00,2120.00,1770.00,207378200,401563568000
2026-01-29,ADRO,RG,2210.00,2220.00,2210.00,2250.00,1900.00,294890600,617151622500
2026-01-29,AGAR,RG,278.00,346.00,294.00,346.00,286.00,8264200,2754763200
2026-01-29,AGII,RG,1840.00,2000.00,1890.00,2020.00,1700.00,7509400,14297388500
2026-01-29,AGRO,RG,212.00,208.00,212.00,218.00,182.00,58246100,11746693700
2026-01-29,AGRS,RG,73.00,74.00,73.00,79.00,68.00,19011900,1350167000
2026-01-29,AHAP,RG,137.00,124.00,124.00,130.00,124.00,10238600,1269786400
2026-01-29,AIMS,RG,595.00,510.00,510.00,510.00,510.00,1074900,548199000
2026-01-29,AISA,RG,144.00,136.00,143.00,143.00,123.00,43973800,5754064900
2026-01-29,AKKU,RG,38.00,35.00,35.00,35.00,35.00,514500,18007500
2026-01-29,AKPI,RG,560.00,550.00,555.00,560.00,520.00,421800,226507500
2026-01-29,AKRA,RG,1280.00,1205.00,1250.00,1255.00,1100.00,47307300,56064511500
2026-01-29,AKSI,RG,408.00,390.00,408.00,450.00,348.00,1987500,759315200
2026-01-29,ALDO,RG,545.00,525.00,535.00,535.00,464.00,240600,115533800
2026-01-29,ALKA,RG,670.00,600.00,580.00,645.00,570.00,990000,576333500
2026-01-29,ALMI,RG,74.00,74.00,0.00,0.00,0.00,0,0
2026-01-29,ALTO,RG,18.00,18.00,0.00,0.00,0.00,0,0
2026-01-29,AMAG,RG,452.00,426.00,454.00,454.00,410.00,1053800,444161400
2026-01-29,AMAN,RG,214.00,218.00,218.00,256.00,182.00,12319700,2549804400
2026-01-29,AMAR,RG,210.00,218.00,210.00,218.00,190.00,2063100,413291000
2026-01-29,AMFG,RG,3590.00,3590.00,3480.00,3590.00,3310.00,25500,86556000
2026-01-29,AMIN,RG,276.00,288.00,276.00,290.00,250.00,1007600,282136600
2026-01-29,AMMN,RG,7000.00,7150.00,7000.00,7200.00,6200.00,53064400,365211540000
2026-01-29,AMMS,RG,466.00,480.00,466.00,480.00,420.00,4686200,1995606800
2026-01-29,AMOR,RG,372.00,380.00,364.00,380.00,340.00,1117600,398673600
2026-01-29,AMRT,RG,1735.00,1640.00,1715.00,1720.00,1475.00,153665600,240772357000
2026-01-29,ANDI,RG,27.00,27.00,25.00,27.00,25.00,16387000,415708900
2026-01-29,ANJT,RG,1705.00,1705.00,1700.00,1750.00,1450.00,731300,1140741000
2026-01-29,ANTM,RG,4420.00,4320.00,4510.00,4570.00,3760.00,818266300,3409696716000
2026-01-29,APEX,RG,196.00,189.00,196.00,200.00,167.00,70007500,12505298900
2026-01-29,APIC,RG,1560.00,1335.00,1555.00,1555.00,1330.00,1702600,2321559500
2026-01-29,APII,RG,195.00,195.00,200.00,200.00,189.00,149800,28796500
2026-01-29,APLI,RG,360.00,348.00,360.00,360.00,318.00,112800,37769200
2026-01-29,APLN,RG,153.00,149.00,153.00,153.00,131.00,136832900,18639334800
2026-01-29,ARCI,RG,1940.00,1915.00,1955.00,1995.00,1650.00,400138800,744417667500
2026-01-29,AREA,RG,402.00,428.00,380.00,442.00,342.00,2349800,893510400
2026-01-29,ARGO,RG,1105.00,1325.00,1080.00,1350.00,940.00,604800,736500500
2026-01-29,ARII,RG,284.00,278.00,284.00,286.00,242.00,2981900,820141800
2026-01-29,ARKA,RG,35.00,33.00,32.00,35.00,32.00,6436900,206265800
2026-01-29,ARKO,RG,10550.00,9500.00,9500.00,9500.00,9500.00,537200,5103400000
2026-01-29,ARMY,RG,50.00,50.00,0.00,0.00,0.00,0,0
2026-01-29,ARNA,RG,515.00,520.00,515.00,520.00,484.00,8201000,4149873300
2026-01-29,ARTA,RG,2840.00,2810.00,2990.00,3010.00,2800.00,18900,54657000
2026-01-29,ARTI,RG,2.00,2.00,0.00,0.00,0.00,0,0
2026-01-29,ARTO,RG,1670.00,1700.00,1670.00,1805.00,1500.00,18053000,30171390500
2026-01-29,ASBI,RG,424.00,432.00,436.00,436.00,400.00,87100,35398600
2026-01-29,ASDM,RG,635.00,650.00,635.00,650.00,540.00,389500,222151000
2026-01-29,ASGR,RG,1490.00,1560.00,1485.00,1570.00,1385.00,4031900,6023445000
2026-01-29,ASHA,RG,73.00,70.00,73.00,74.00,63.00,90128300,5998725400
2026-01-29,ASII,RG,6175.00,6475.00,6200.00,6475.00,5725.00,136295200,837888192500
2026-01-29,ASJT,RG,180.00,180.00,192.00,222.00,153.00,6660600,1250486700
2026-01-29,ASLC,RG,81.00,78.00,81.00,81.00,69.00,112080500,8401701000
2026-01-29,ASLI,RG,500.00,550.00,494.00,590.00,426.00,37917200,18629313400
2026-01-29,ASMI,RG,33.00,30.00,30.00,30.00,30.00,2226300,66789000
2026-01-29,ASPI,RG,426.00,436.00,416.00,505.00,364.00,1619700,616050300
2026-01-29,ASPR,RG,120.00,124.00,131.00,151.00,102.00,28579900,3628439200
