Date,Stock Code,Board,Previous Price,Last Price,Open Price,High Price,Low Price,Volume,Value
2022-12-23,AALI,RG,7975.00,7975.00,7975.00,8025.00,7950.00,271900,2171147500
2022-12-23,ABBA,RG,155.00,154.00,155.00,161.00,154.00,8369700,1321520600
2022-12-23,ABDA,RG,6700.00,6700.00,0.00,0.00,0.00,0,0
2022-12-23,ABMM,RG,3420.00,3390.00,3420.00,3420.00,3360.00,567600,1923458000
2022-12-23,ACES,RG,486.00,480.00,490.00,498.00,470.00,183460700,88928626600
2022-12-23,ACST,RG,160.00,158.00,160.00,160.00,158.00,1857800,295047200
2022-12-23,ADCP,RG,67.00,67.00,67.00,69.00,66.00,12611000,848221600
2022-12-23,ADES,RG,7125.00,7150.00,7100.00,7175.00,7100.00,42900,305460000
2022-12-23,ADHI,RG,520.00,520.00,520.00,520.00,510.00,5480000,2834487000
2022-12-23,ADMF,RG,8950.00,9000.00,8950.00,9000.00,8925.00,35900,321550000
2022-12-23,ADMG,RG,153.00,153.00,154.00,154.00,150.00,84200,12749600
2022-12-23,ADMR,RG,1720.00,1700.00,1720.00,1725.00,1695.00,48028700,81821909000
2022-12-23,ADRO,RG,3930.00,3810.00,3860.00,3860.00,3800.00,118489300,453046367000
2022-12-23,AGAR,RG,276.00,276.00,276.00,276.00,276.00,700,193200
2022-12-23,AGII,RG,2220.00,2160.00,2220.00,2250.00,2150.00,6619200,14465506000
2022-12-23,AGRO,RG,460.00,450.00,460.00,462.00,450.00,11096600,5021836600
2022-12-23,AGRS,RG,89.00,88.00,89.00,90.00,88.00,3828100,337994900
2022-12-23,AHAP,RG,81.00,80.00,81.00,83.00,80.00,4732500,382931400
2022-12-23,AIMS,RG,210.00,210.00,210.00,210.00,210.00,4900,1029000
2022-12-23,AISA,RG,153.00,151.00,153.00,154.00,151.00,1165300,176816800
2022-12-23,AKKU,RG,50.00,50.00,50.00,50.00,50.00,100,5000
2022-12-23,AKPI,RG,1325.00,1295.00,1300.00,1325.00,1295.00,10600,13924000
2022-12-23,AKRA,RG,1400.00,1400.00,1400.00,1405.00,1380.00,19255000,26813976500
2022-12-23,AKSI,RG,292.00,292.00,296.00,306.00,290.00,261500,76627200
2022-12-23,ALDO,RG,810.00,810.00,805.00,815.00,805.00,113400,91368000
2022-12-23,ALKA,RG,266.00,270.00,268.00,272.00,268.00,2400,648800
2022-12-23,ALMI,RG,260.00,284.00,256.00,286.00,252.00,26400,7082600
2022-12-23,ALTO,RG,50.00,50.00,50.00,50.00,50.00,322000,16100000
2022-12-23,AMAG,RG,356.00,362.00,358.00,364.00,356.00,159200,57880000
2022-12-23,AMAN,RG,705.00,710.00,710.00,710.00,710.00,100,71000
2022-12-23,AMAR,RG,270.00,262.00,270.00,272.00,260.00,16147400,4302422600
2022-12-23,AMFG,RG,5625.00,5600.00,5650.00,5700.00,5500.00,26300,146572500
2022-12-23,AMIN,RG,104.00,107.00,104.00,109.00,104.00,69700,7411600
2022-12-23,AMMS,RG,43.00,45.00,44.00,46.00,43.00,2237000,99590200
2022-12-23,AMOR,RG,1310.00,1310.00,1350.00,1350.00,1310.00,45900,60156000
2022-12-23,AMRT,RG,2600.00,2620.00,2590.00,2640.00,2560.00,50214100,131517914000
2022-12-23,ANDI,RG,50.00,50.00,50.00,50.00,50.00,56200,2810000
2022-12-23,ANJT,RG,645.00,650.00,645.00,650.00,640.00,1196100,775179500
2022-12-23,ANTM,RG,2030.00,2000.00,2030.00,2030.00,1995.00,33726500,67570215500
2022-12-23,APEX,RG,187.00,183.00,187.00,189.00,180.00,732500,134205400
2022-12-23,APIC,RG,1115.00,1110.00,1115.00,1120.00,1105.00,6305900,6996742000
2022-12-23,APII,RG,191.00,200.00,195.00,202.00,190.00,847900,167424500
2022-12-23,APLI,RG,184.00,181.00,184.00,184.00,177.00,93500,16809700
2022-12-23,APLN,RG,150.00,152.00,148.00,155.00,148.00,10842900,1649059600
2022-12-23,ARCI,RG,326.00,330.00,326.00,330.00,320.00,1317400,426872200
2022-12-23,ARGO,RG,1195.00,1150.00,1150.00,1150.00,1150.00,100,115000
2022-12-23,ARII,RG,302.00,298.00,296.00,302.00,292.00,565900,167311800
2022-12-23,ARKA,RG,50.00,50.00,50.00,50.00,50.00,57000,2850000
2022-12-23,ARKO,RG,635.00,630.00,635.00,650.00,630.00,7988000,5105973500
2022-12-23,ARNA,RG,990.00,990.00,990.00,995.00,980.00,94000,92807500
2022-12-23,ARTA,RG,2520.00,2690.00,2490.00,2690.00,2350.00,23800,59848000
2022-12-23,ARTO,RG,3680.00,3740.00,3670.00,3780.00,3630.00,8854400,33100790000
2022-12-23,ASBI,RG,535.00,520.00,515.00,530.00,515.00,1000,525500
2022-12-23,ASDM,RG,930.00,930.00,930.00,930.00,930.00,2200,2046000
2022-12-23,ASGR,RG,955.00,950.00,955.00,960.00,950.00,173100,164625000
2022-12-23,ASHA,RG,97.00,100.00,98.00,101.00,95.00,48544800,4773611900
2022-12-23,ASII,RG,5775.00,5675.00,5750.00,5775.00,5650.00,31969000,181954395000
2022-12-23,ASJT,RG,122.00,129.00,122.00,129.00,122.00,6200,783800
2022-12-23,ASLC,RG,125.00,123.00,125.00,127.00,123.00,12272600,1535471500
2022-12-23,ASMI,RG,114.00,111.00,121.00,129.00,110.00,21989600,2647890000
2022-12-23,ASPI,RG,94.00,93.00,93.00,95.00,93.00,996200,93104500
2022-12-23,ASRI,RG,166.00,165.00,166.00,166.00,164.00,5100500,839277400
2022-12-23,ASRM,RG,1640.00,1640.00,0.00,0.00,0.00,0,0
2022-12-23,ASSA,RG,805.00,785.00,810.00,815.00,780.00,2591300,2056015000
2022-12-23,ATAP,RG,83.00,84.00,81.00,85.00,81.00,1658100,138730100
2022-12-23,ATIC,RG,390.00,390.00,390.00,390.00,390.00,6500,2535000
2022-12-23,AUTO,RG,1390.00,1370.00,1390.00,1390.00,1365.00,829400,1141056000
2022-12-23,AVIA,RG,640.00,630.00,640.00,645.00,630.00,15354100,9746997000
2022-12-23,AXIO,RG,222.00,228.00,224.00,230.00,222.00,26544500,6014096400
2022-12-23,AYLS,RG,116.00,115.00,116.00,122.00,115.00,29558100,3488534800
2022-12-23,BABP,RG,102.00,103.00,102.00,107.00,102.00,37590700,3944932400
2022-12-23,BACA,RG,132.00,131.00,132.00,133.00,130.00,5521300,722692700
2022-12-23,BAJA,RG,124.00,123.00,124.00,128.00,123.00,114300,14191000
2022-12-23,BALI,RG,755.00,740.00,755.00,770.00,705.00,2094500,1490107500
2022-12-23,BANK,RG,1600.00,1550.00,1600.00,1635.00,1530.00,53369900,84147856500
2022-12-23,BAPA,RG,96.00,95.00,96.00,96.00,93.00,4466100,420958300
2022-12-23,BAPI,RG,50.00,50.00,50.00,50.00,50.00,33100,1655000
2022-12-23,BATA,RG,515.00,515.00,515.00,515.00,515.00,700,360500
2022-12-23,BAUT,RG,50.00,50.00,50.00,50.00,50.00,10500,525000
2022-12-23,BAYU,RG,1000.00,1000.00,0.00,0.00,0.00,0,0
2022-12-23,BBCA,RG,8575.00,8500.00,8525.00,8575.00,8500.00,47393000,404592785000
2022-12-23,BBHI,RG,1775.00,1775.00,1775.00,1790.00,1765.00,443200,788082000
2022-12-23,BBKP,RG,101.00,102.00,101.00,103.00,100.00,42500300,4336513700
2022-12-23,BBLD,RG,600.00,580.00,620.00,620.00,560.00,19100,11108000
2022-12-23,BBMD,RG,2030.00,2030.00,0.00,0.00,0.00,0,0
2022-12-23,BBNI,RG,9425.00,9325.00,9400.00,9450.00,9325.00,15246000,142822102500
